時間,交易金額,折扣金額,種類,發票編號,客戶編號,品項
2026/01/08 08:10:13,232,0,信用卡,XK36103665,,厚切嫩牛堡6吋(1)|嫩煎蛋一片(1)|A套餐(1)
2026/01/08 08:13:16,342,0,現金,XK36103666,,厚切牛起司蛋堡(1)|培根1條(1)|培根起司蛋堡(1)|蛋沙拉沙拉(1)
2026/01/08 08:22:23,72,0,信用卡,XK36103667,,培根起司蛋堡(1)
2026/01/08 08:43:47,204,0,信用卡,XK36103668,,火腿起司蛋堡(1)|蛋沙拉1球(1)|蘑菇濃湯(1)|美式咖啡熱(1)
2026/01/08 08:28:49,-342,0,現金,XK36103666,,厚切牛起司蛋堡(-1)|培根1條(-1)|培根起司蛋堡(-1)|蛋沙拉沙拉(-1)
2026/01/08 08:46:26,108,0,Line Pay,XK36103669,,套餐厚牛起司蛋(1)
2026/01/08 09:10:46,183,0,信用卡,XK36103670,,嫩切雞肉堡6吋(1)|嫩煎蛋一片(1)|美式咖啡熱(1)
2026/01/08 09:17:33,216,0,信用卡,XK36103671,,套餐厚牛起司蛋(2)
2026/01/08 09:24:08,214,0,現金,XK36103672,,厚切嫩牛堡6吋(1)|A套餐(1)
2026/01/08 09:32:58,193,0,Line Pay,XK36103673,,墨西哥辣牛堡6吋(1)|D套餐(1)
2026/01/08 09:48:42,210,0,FoodPanda,XK36103674,,義大利牛肉丸(1)
2026/01/08 09:50:46,239,0,FoodPanda,XK36103675,,墨西哥辣椒起司厚牛(1)
2026/01/08 10:01:49,244,0,現金,XK36103676,,蛋沙拉烤餅6吋(1)|酪梨泥一球(1)|蘑菇濃湯(1)
2026/01/08 10:19:40,160,0,信用卡,XK36103677,,鮪魚堡6吋(1)|蛋沙拉1球(1)
2026/01/08 10:24:28,82,0,現金,XK36103678,,厚切牛起司蛋堡(1)
2026/01/08 10:36:14,30,0,現金,XK36103679,,588ml鹼性離子水(1)
2026/01/08 10:38:18,293,0,FoodPanda,XK36103680,,嫩切雞肉(1)|蛋沙拉1球(2)
2026/01/08 10:42:24,173,0,現金,XK36103681,,香烤雞肉堡6吋(1)|A套餐(1)
2026/01/08 10:46:36,120,0,信用卡,XK36103682,,套餐厚牛起司蛋(1)
2026/01/08 11:15:30,448,0,FoodPanda,XK36103683,,照燒雞肉(1)|照燒雞肉(1)
