時間,交易金額,折扣金額,種類,發票編號,客戶編號,品項
2026/01/30 08:14:57,102,0,Line Pay,XK36106403,,辣牛沙拉捲餅(1)
2026/01/30 08:22:00,198,0,Line Pay,XK36106404,,鮮嫩雞柳堡6吋(1)|蛋沙拉1球(1)|美式咖啡熱(1)
2026/01/30 08:25:11,52,0,信用卡,XK36106405,,起司蛋堡(1)
2026/01/30 08:25:48,78,0,現金,XK36106406,,套餐起司蛋(1)
2026/01/30 08:27:05,88,0,現金,XK36106407,,套餐火腿起司蛋(1)
2026/01/30 08:49:11,260,0,信用卡,XK36106408,,香烤雞肉堡12吋(1)|蛋沙拉1球(1)
2026/01/30 09:17:11,210,0,現金,XK36106409,,香烤雞肉堡6吋(1)|F套餐(1)
2026/01/30 09:33:26,201,0,現金,XK36106410,,鮪魚沙拉(1)|杯裝飲料(22oz)(1)
2026/01/30 09:51:43,125,0,信用卡,XK36106411,,鮮嫩雞柳堡6吋(1)
2026/01/30 10:08:11,267,0,Line Pay,XK36106412,,A套餐(1)|C套餐(1)|厚切牛起司蛋堡(2)
2026/01/30 10:09:38,225,0,現金,XK36106413,,鮮嫩雞柳堡12吋(1)
2026/01/30 10:15:42,208,0,UberEats,XK36106414,,6吋鮪魚潛艇堡 6-Inch Tuna Sub(1)
2026/01/30 10:45:51,170,0,現金,XK36106415,,香烤雞肉堡6吋(1)|酪梨泥一球(1)
2026/01/30 10:50:01,288,0,現金,XK36106416,,照燒雞肉堡6吋(1)|鮪魚堡6吋(1)|蛋沙拉1球(1)
2026/01/30 10:56:25,336,0,信用卡,XK36106417,,嫩雞沙拉捲餅(1)|H套餐(1)|燒烤牛肉堡6吋(1)
2026/01/30 11:16:54,238,0,FoodPanda,XK36106418,,鮮嫩雞柳(1)
2026/01/30 11:19:10,211,0,現金,XK36106419,,照燒雞肉堡6吋(1)|蛋沙拉1球(1)|A套餐(1)
2026/01/30 11:26:03,308,0,現金,XK36106420,,嫩切雞肉堡12吋(1)|嫩切雞肉雙份肉料(2)
2026/01/30 11:30:23,234,0,信用卡,XK36106421,,素食蔬菜堡12吋(1)|蛋沙拉1球(2)
