時間,交易金額,折扣金額,種類,發票編號,客戶編號,品項
2025/12/11 08:05:48,293,0,信用卡,VM14255411,,蛋沙拉沙拉(1)|美式咖啡熱(1)|套餐起司蛋(1)
2025/12/11 08:20:22,315,0,信用卡,VM14255412,,鮮嫩雞柳堡6吋(1)|G套餐(1)|套餐厚牛起司蛋(1)
2025/12/11 08:25:06,163,0,現金,VM14255413,,嫩切雞肉堡6吋(1)|A套餐(1)
2025/12/11 08:29:52,456,0,現金,VM14255414,,嫩切雞肉堡12吋(2)|餅乾3片(1)
2025/12/11 08:34:20,62,0,Line Pay,VM14255415,,火腿起司蛋堡(1)
2025/12/11 08:42:29,163,0,信用卡,VM14255416,,照燒雞肉堡6吋(1)|嫩煎蛋一片(1)
2025/12/11 08:50:53,148,0,現金,VM14255417,,哈燒起司總匯堡6吋(1)|培根1條(1)
2025/12/11 09:00:28,267,0,Line Pay,VM14255418,,厚切牛起司蛋堡(2)|A套餐(1)|C套餐(1)
2025/12/11 09:26:48,62,0,信用卡,VM14255419,,火腿起司蛋堡(1)
2025/12/11 09:42:31,102,0,信用卡,VM14255420,,嫩雞沙拉捲餅(1)
2025/12/11 09:53:43,239,0,UberEats,VM14255421,,6吋照燒雞肉潛艇堡 6-Inch Chicken Teriyaki Sub(1)
2025/12/11 09:55:33,160,0,Line Pay,VM14255422,,蛋沙拉1球(1)|鮪魚堡6吋(1)
2025/12/11 10:06:59,205,0,現金,VM14255423,,鮮嫩雞柳堡6吋(1)|酪梨泥一球(1)|嫩煎蛋一片(1)
2025/12/11 10:09:50,120,0,信用卡,VM14255424,,套餐厚牛起司蛋(1)
2025/12/11 10:18:56,250,0,Line Pay,VM14255425,,鮮嫩雞柳堡6吋(1)|鮮嫩雞柳雙份肉料(1)|G套餐(1)
2025/12/11 11:18:00,1754,0,現金,VM14255433,,厚切嫩牛堡6吋(1)|厚切嫩牛堡6吋(1)|厚切嫩牛堡6吋(1)|酪梨泥一球(1)|厚切嫩牛堡6吋(1)|厚切嫩牛堡6吋(1)|嫩煎蛋一片(1)|素食蔬菜沙拉(6)|鮪魚堡6吋(1)
2025/12/11 10:44:32,180,0,現金,VM14255426,,鮮嫩雞柳堡6吋(1)|鮮嫩雞柳雙份肉料(1)
2025/12/11 10:50:22,349,0,信用卡,VM14255427,,鮮嫩雞柳堡6吋(1)|H套餐(1)|義大利牛肉丸堡6吋(1)
2025/12/11 10:53:03,175,0,Line Pay,VM14255428,,嫩切雞肉堡6吋(1)|A套餐(1)
2025/12/11 10:54:11,251,0,信用卡,VM14255429,,嫩雞沙拉捲餅(1)|厚切嫩牛堡6吋(1)
2025/12/11 11:04:47,189,0,FoodPanda,VM14255430,,嫩切雞肉(1)
2025/12/11 11:05:38,217,0,UberEats,VM14255431,,6吋義大利經典潛艇堡 6-Inch Italian B.M.T.TM Sub(1)
2025/12/11 11:12:42,198,0,Line Pay,VM14255432,,嫩切雞肉堡12吋(1)
2025/12/11 11:31:31,110,0,信用卡,VM14255434,,嫩切雞肉堡6吋(1)
2025/12/11 11:47:29,450,0,UberEats,VM14255435,,6吋鮮嫩雞柳潛艇堡 6-Inch Chicken Strips Sub(1)|辣豆瓣嫩牛可樂優惠套餐 6-Inch Mala Beef Sub with Coke Zero Meal Set(1)|活動折扣(Uber eats)(1)
2025/12/11 11:48:10,219,0,UberEats,VM14255436,,6吋嫩切雞肉潛艇堡 6-Inch Sliced Chicken Sub(1)
2025/12/11 11:49:30,128,0,信用卡,VM14255437,,照燒雞肉堡6吋(1)
2025/12/11 11:51:43,665,0,UberEats,VM14255438,,6吋嫩切雞肉潛艇堡 6-Inch Sliced Chicken Sub(1)|6吋照燒雞肉潛艇堡 6-Inch Chicken Teriyaki Sub(1)|6吋香烤雞肉潛艇堡 6-Inch Roasted Chicken Breast Sub(1)|單點現烤餅乾一片 Cookie1 pc(1)
2025/12/11 12:13:47,197,0,Line Pay,VM14255447,,厚切嫩牛堡6吋(1)|B套餐(1)
2025/12/11 12:01:12,273,0,現金,VM14255439,,鮮嫩雞柳堡12吋(1)|A套餐(1)
2025/12/11 12:03:01,287,0,UberEats,VM14255440,,6吋義大利經典潛艇堡 6-Inch Italian B.M.T.TM Sub(1)|單點薯片 Chips(1)
2025/12/11 12:03:49,269,0,現金,VM14255441,,厚切嫩牛堡6吋(1)|蛋沙拉堡6吋(1)
