時間,交易金額,折扣金額,種類,發票編號,客戶編號,品項
2025/11/27 08:01:44,105,0,現金,VM14253299,,培根1條(1)|厚切牛起司蛋堡(1)
2025/11/27 08:09:13,313,0,Line Pay,VM14253300,,義大利經典堡12吋(1)|G套餐(1)
2025/11/27 08:10:52,218,0,現金,VM14253301,,嫩切雞肉堡6吋(1)|美祿熱(1)|嫩煎蛋一片(1)|三角切片起司一份(1)
2025/11/27 08:12:42,128,0,Line Pay,VM14253302,,照燒雞肉堡6吋(1)
2025/11/27 08:26:21,172,0,現金,VM14253303,,厚切嫩牛堡6吋(1)|切絲巧達起司一份(1)
2025/11/27 08:30:34,193,0,信用卡,VM14253304,,嫩切雞肉堡6吋(1)|嫩煎蛋一片(1)|A套餐(1)
2025/11/27 08:32:24,82,0,現金,VM14253305,,厚切牛起司蛋堡(1)
2025/11/27 08:43:50,128,0,現金,VM14253306,,照燒雞肉堡6吋(1)
2025/11/27 09:25:17,147,0,信用卡,VM14253307,,嫩雞沙拉捲餅(1)|酪梨泥一球(1)
2025/11/27 09:37:16,468,0,Line Pay,VM14253308,,燒烤牛肉堡12吋(1)|墨西哥辣牛沙拉(1)|C套餐(1)
2025/11/27 11:02:34,428,0,信用卡,VM14253309,,厚切嫩牛堡12吋(1)|酪梨泥一球(1)|厚切嫩牛雙份肉料(1)|餅乾3片(1)
2025/11/27 11:05:07,125,0,現金,VM14253310,,鮮嫩雞柳堡6吋(1)
2025/11/27 11:12:11,153,0,信用卡,VM14253311,,百味俱樂部堡6吋(1)|餅乾1片(1)
2025/11/27 11:23:22,0,105,,00000000,2101130002員工餐0元,火腿堡6吋(1)
2025/11/27 11:26:17,184,0,現金,VM14253312,,義大利牛肉丸堡6吋(1)|C套餐(1)
2025/11/27 11:37:27,236,0,現金,VM14253313,,鮮嫩雞柳(1)
2025/11/27 11:38:13,182,0,現金,VM14253314,,義大利牛肉丸堡6吋(1)|A套餐(1)
2025/11/27 11:47:04,242,0,Line Pay,VM14253315,,厚切嫩牛烤餅6吋(1)|嫩煎蛋一片(1)|A套餐(1)
2025/11/27 11:49:22,437,0,現金,VM14253316,,燒烤牛肉堡12吋(1)|燒烤牛肉堡6吋(1)|A套餐(1)
2025/11/27 11:54:46,659,0,信用卡,VM14253317,,厚切嫩牛堡12吋(1)|辣豆瓣嫩牛6吋(1)|厚切嫩牛堡6吋(1)|蛋沙拉1球(1)|A套餐(1)
2025/11/27 11:59:36,0,163,,00000000,2101130002員工餐0元,照燒雞肉堡6吋(1)|嫩煎蛋一片(1)
2025/11/27 12:01:24,128,0,信用卡,VM14253318,,照燒雞肉堡6吋(1)
2025/11/27 12:03:59,230,0,現金,VM14253319,,照燒雞肉堡12吋(1)
2025/11/27 12:05:08,160,0,信用卡,VM14253320,,香烤雞肉堡6吋(1)|蛋沙拉1球(1)
2025/11/27 12:07:45,170,0,現金,VM14253321,,嫩切雞肉堡6吋(1)|C套餐(1)
2025/11/27 12:14:36,25,0,現金,VM14253322,,餅乾1片(1)
2025/11/27 12:15:07,218,0,現金,VM14253323,,百味俱樂部堡6吋(1)|蛋沙拉1球(1)|C套餐(1)
2025/11/27 12:16:41,160,0,信用卡,VM14253324,,蛋沙拉1球(1)|香烤雞肉堡6吋(1)
2025/11/27 12:17:36,225,0,信用卡,VM14253325,,鮪魚堡12吋(1)
2025/11/27 12:21:30,163,0,現金,VM14253326,,照燒雞肉堡6吋(1)|蛋沙拉1球(1)
2025/11/27 12:24:08,110,0,信用卡,VM14253327,,嫩切雞肉堡6吋(1)
2025/11/27 12:26:02,241,0,FoodPanda,VM14253328,,鮮嫩雞柳(1)|加料(1)
2025/11/27 12:26:29,225,0,現金,VM14253329,,香烤雞肉堡12吋(1)
2025/11/27 12:28:52,163,0,信用卡,VM14253330,,鮮嫩雞柳堡6吋(1)|美式咖啡熱(1)
2025/11/27 12:30:13,125,0,信用卡,VM14253331,,鮮嫩雞柳堡6吋(1)
2025/11/27 12:31:25,348,0,信用卡,VM14253332,,百味俱樂部堡12吋(1)|蛋沙拉1球(1)|蛋沙拉1球(1)|A套餐(1)
2025/11/27 12:34:38,222,0,信用卡,VM14253333,,厚切嫩牛堡6吋(1)|蛋沙拉1球(1)|無糖紅茶冰(1)
2025/11/27 12:37:33,184,0,現金,VM14253334,,厚切嫩牛堡6吋(1)|蛋沙拉1球(1)
2025/11/27 12:39:24,183,0,信用卡,VM14253335,,百味俱樂部堡6吋(1)|百味俱樂部雙份肉料(1)
2025/11/27 12:40:19,263,0,信用卡,VM14253336,,百味俱樂部堡6吋(1)|義大利經典堡6吋(1)
2025/11/27 12:44:47,197,0,現金,VM14253337,,鮪魚堡6吋(1)|C套餐(1)
2025/11/27 12:47:43,351,0,信用卡,VM14253338,,照燒雞肉堡6吋(1)|嫩煎蛋一片(1)|百味俱樂部堡6吋(1)|餅乾3片(1)
2025/11/27 12:50:42,125,0,信用卡,VM14253339,,香烤雞肉堡6吋(1)
2025/11/27 12:58:22,0,207,,00000000,2101130002員工餐0元,嫩煎蛋一片(1)|厚切嫩牛堡6吋(1)|三角切片起司一份(1)
2025/11/27 12:59:27,127,0,現金,VM14253340,,辣牛沙拉捲餅(1)|餅乾1片(1)
2025/11/27 12:59:57,239,0,現金,VM14253341,,辣豆瓣嫩牛6吋(1)|嫩煎蛋一片(1)|酪梨泥一球(1)
2025/11/27 13:00:59,-127,0,現金,VM14253340,,辣牛沙拉捲餅(-1)|餅乾1片(-1)
2025/11/27 13:01:45,-239,0,現金,VM14253341,,辣豆瓣嫩牛6吋(-1)|嫩煎蛋一片(-1)|酪梨泥一球(-1)
2025/11/27 13:03:48,554,0,現金,VM14253342,,哈燒起司總匯堡6吋(1)|厚切嫩牛堡6吋(1)|厚切嫩牛雙份肉料(1)|酪梨泥一球(1)|哈燒起司總匯烤餅6吋(1)|酪梨泥一球(1)
2025/11/27 13:09:55,164,0,信用卡,VM14253343,,素食蔬菜堡12吋(1)
2025/11/27 13:14:24,163,0,Line Pay,VM14253344,,嫩切雞肉堡6吋(1)|A套餐(1)
2025/11/27 13:17:08,105,0,現金,VM14253345,,火腿堡6吋(1)
2025/11/27 13:17:52,139,0,現金,VM14253346,,燒烤牛肉堡6吋(1)
2025/11/27 13:30:38,357,0,現金,VM14253347,,燒烤牛肉堡6吋(1)|嫩切雞肉堡6吋(1)|A套餐(1)|餅乾3片(1)
2025/11/27 13:38:39,149,0,信用卡,VM14253348,,厚切嫩牛堡6吋(1)
2025/11/27 13:41:54,170,0,信用卡,VM14253349,,香烤雞肉堡6吋(1)|酪梨泥一球(1)
2025/11/27 13:42:55,0,78,,00000000,2101130002員工餐0元,香烤雞肉雙份肉料(1)|三角切片起司一份(1)
2025/11/27 13:44:34,145,0,Line Pay,VM14253350,,嫩切雞肉堡6吋(1)|嫩煎蛋一片(1)
2025/11/27 13:49:29,290,0,Line Pay,VM14253351,,百味俱樂部堡12吋(1)|餅乾3片(1)
2025/11/27 13:54:46,170,0,現金,VM14253352,,照燒雞肉沙拉(1)
2025/11/27 13:59:59,340,0,Line Pay,VM14253353,,鮮嫩雞柳堡6吋(1)|鮮嫩雞柳雙份肉料(1)|鮪魚堡6吋(1)|嫩煎蛋一片(1)
2025/11/27 14:06:11,100,0,現金,VM14253354,,薯片(4)
2025/11/27 14:26:55,60,0,信用卡,VM14253355,,餅乾3片(1)
2025/11/27 14:28:44,225,0,現金,VM14253356,,鮮嫩雞柳堡12吋(1)
2025/11/27 14:45:48,0,127,,00000000,2101130002員工餐0元,辣牛沙拉捲餅(1)|餅乾1片(1)
2025/11/27 14:47:11,0,239,,00000000,2101130002員工餐0元,辣豆瓣嫩牛6吋(1)|蛋沙拉1球(1)|酪梨泥一球(1)
2025/11/27 14:47:41,0,338,,00000000,2101130002員工餐0元,三角切片起司一份(6)|鮮嫩雞柳雙份肉料(1)|辣豆瓣嫩牛雙份肉料(1)|厚切嫩牛雙份肉料(1)|嫩煎蛋一片(1)
2025/11/27 14:57:47,502,0,信用卡,VM14253357,,鮪魚堡6吋(1)|蛋沙拉1球(1)|厚切嫩牛堡6吋(1)|火腿雙份肉料(1)|蛋沙拉1球(1)|A套餐(1)|C套餐(1)
2025/11/27 15:04:00,153,0,現金,VM14253358,,火腿堡6吋(1)|A套餐(1)
2025/11/27 15:16:19,218,0,現金,VM14253359,,嫩煎蛋一片(1)|義大利經典堡6吋(1)|A套餐(1)
2025/11/27 15:17:25,187,0,現金,VM14253360,,燒烤牛肉堡6吋(1)|A套餐(1)
2025/11/27 15:19:40,115,0,現金,VM14253361,,墨西哥辣牛堡6吋(1)
2025/11/27 15:26:04,184,0,現金,VM14253362,,厚切嫩牛堡6吋(1)|蛋沙拉1球(1)
2025/11/27 15:29:38,115,0,Line Pay,VM14253363,,墨西哥辣牛堡6吋(1)
2025/11/27 15:40:39,158,0,現金,VM14253364,,嫩切雞肉堡6吋(1)|A套餐(1)
2025/11/27 15:50:50,139,0,現金,VM14253365,,燒烤牛肉堡6吋(1)
2025/11/27 15:54:48,225,0,信用卡,VM14253366,,哈燒起司總匯堡12吋(1)
2025/11/27 16:03:26,584,0,Line Pay,VM14253367,,嫩切雞肉堡12吋(1)|照燒雞肉堡12吋(1)|A套餐(1)|A套餐(1)|餅乾3片(1)
2025/11/27 16:19:30,110,0,Line Pay,VM14253368,,嫩切雞肉堡6吋(1)
2025/11/27 16:26:37,0,25,,00000000,2101130002員工餐0元,餅乾1片(1)
2025/11/27 16:34:32,149,0,現金,VM14253369,,厚切嫩牛堡6吋(1)
2025/11/27 16:39:34,38,0,Line Pay,VM14253370,,美式咖啡冰(1)
2025/11/27 16:47:32,125,0,現金,VM14253371,,鮪魚堡6吋(1)
2025/11/27 16:51:57,0,50,,00000000,2101130002員工餐0元,餅乾1片(2)
2025/11/27 16:55:14,218,0,現金,VM14253372,,嫩煎蛋一片(1)|照燒雞肉堡6吋(1)|C套餐(1)
2025/11/27 17:01:20,210,0,現金,VM14253373,,香烤雞肉堡6吋(1)|嫩煎蛋一片(1)|美祿冰(1)
2025/11/27 17:02:57,222,0,現金,VM14253374,,燒烤牛肉堡6吋(1)|嫩煎蛋一片(1)|A套餐(1)
2025/11/27 17:04:57,273,0,現金,VM14253375,,哈燒起司總匯堡12吋(1)|A套餐(1)
2025/11/27 17:06:28,373,0,FoodPanda,VM14253376,,嫩切雞肉(1)|火腿(1)
2025/11/27 17:07:35,25,0,Line Pay,VM14253377,,餅乾1片(1)
2025/11/27 17:08:17,341,0,現金,VM14253378,,素食蔬菜堡6吋(1)|燒烤牛肉堡6吋(1)|培根1條(1)|酪梨泥一球(1)|酪梨泥一球(1)
