時間,交易金額,折扣金額,種類,發票編號,客戶編號,品項
2026/02/05 08:03:08,311,0,現金,XK36107124,,套餐火腿起司蛋(1)|套餐厚牛起司蛋(1)|厚切嫩牛雙份肉料(1)|餅乾3片(1)
2026/02/05 08:31:22,78,0,現金,XK36107125,,套餐起司蛋(1)
2026/02/05 08:47:06,108,0,現金,XK36107126,,套餐厚牛起司蛋(1)
2026/02/05 09:04:21,236,0,UberEats,XK36107127,,6吋鮮嫩雞柳潛艇堡 6-Inch Chicken Strips Sub(1)
2026/02/05 09:08:05,188,0,Line Pay,XK36107128,,墨西哥辣牛堡6吋(1)|蛋沙拉1球(1)|美式咖啡熱(1)
2026/02/05 09:22:09,108,0,現金,XK36107129,,套餐厚牛起司蛋(1)
2026/02/05 09:27:33,163,0,Line Pay,XK36107130,,香烤雞肉堡6吋(1)|美式咖啡熱(1)
2026/02/05 09:57:27,260,0,現金,XK36107131,,鮮嫩雞柳堡12吋(1)|蛋沙拉1球(1)
2026/02/05 10:04:52,232,0,Line Pay,XK36107132,,厚切嫩牛堡6吋(1)|嫩煎蛋一片(1)|A套餐(1)
2026/02/05 10:15:03,82,0,現金,XK36107133,,厚切牛起司蛋堡(1)
2026/02/05 10:22:27,481,0,現金,XK36107134,,厚切嫩牛堡6吋(1)|火腿堡6吋(1)|嫩煎蛋一片(2)|C套餐(1)|F套餐(1)
2026/02/05 10:31:24,125,0,Line Pay,XK36107135,,香烤雞肉堡6吋(1)
2026/02/05 10:55:21,204,0,Line Pay,XK36107136,,厚切嫩牛堡6吋(1)|厚切嫩牛雙份肉料(1)
2026/02/05 11:14:24,5148,0,現金,XK36107137,,嫩切雞肉堡6吋(4)|A套餐(1)|照燒雞肉堡6吋(4)|嫩雞雙饗(5)|墨西哥辣椒起司厚牛(2)|酪梨蔬菜沙拉(10)|續杯(1)
2026/02/05 11:18:53,319,0,現金,XK36107138,,辣豆瓣嫩牛6吋(1)|香烤雞肉堡6吋(1)|蛋沙拉1球(1)
2026/02/05 11:20:05,153,0,現金,XK36107139,,墨西哥辣牛堡6吋(1)|杯裝飲料(22oz)(1)
2026/02/05 11:26:36,189,0,現金,XK36107140,,火腿堡12吋(1)
2026/02/05 11:29:46,219,0,UberEats,XK36107141,,6吋嫩切雞肉潛艇堡 6-Inch Sliced Chicken Sub(1)
2026/02/05 11:38:37,709,0,現金,XK36107142,,義大利牛肉丸堡12吋(2)|厚切嫩牛堡6吋(1)|A套餐(1)|A套餐(1)
2026/02/05 11:45:42,265,0,Line Pay,XK36107144,,鮪魚堡6吋(1)|酪梨泥一球(1)|H套餐(1)
2026/02/05 11:44:26,239,0,FoodPanda,XK36107143,,百味俱樂部(1)
2026/02/05 11:48:59,493,0,Line Pay,XK36107145,,百味俱樂部堡12吋(1)|百味俱樂部雙份肉料(2)|嫩煎蛋一片(2)|D套餐(1)
2026/02/05 12:00:58,165,0,Line Pay,XK36107146,,嫩切雞肉堡6吋(1)|嫩切雞肉雙份肉料(1)
2026/02/05 12:01:39,184,0,現金,XK36107147,,厚切嫩牛堡6吋(1)|嫩煎蛋一片(1)
