時間,交易金額,折扣金額,種類,發票編號,客戶編號,品項
2025/12/01 08:08:33,82,0,Line Pay,VM14253918,,厚切牛起司蛋堡(1)
2025/12/01 08:10:46,208,0,信用卡,VM14253919,,套餐培根起司蛋(1)|套餐培根起司蛋(1)
2025/12/01 08:42:39,52,0,現金,VM14253920,,起司蛋堡(1)
2025/12/01 08:51:07,451,0,現金,VM14253921,,嫩切雞肉堡6吋(1)|厚切嫩牛堡6吋(1)|嫩煎蛋一片(2)|C套餐(1)|金選奶茶熱(1)
2025/12/01 09:04:22,295,0,現金,VM14253922,,鮪魚堡12吋(1)|蛋沙拉1球(2)
2025/12/01 09:06:20,178,0,現金,VM14253923,,鮮嫩雞柳堡6吋(1)|A套餐(1)
2025/12/01 09:11:52,108,0,現金,VM14253924,,套餐厚牛起司蛋(1)
2025/12/01 09:39:12,98,0,現金,VM14253925,,套餐培根起司蛋(1)
2025/12/01 09:40:20,207,0,Line Pay,VM14253926,,辣豆瓣嫩牛6吋(1)|A套餐(1)
2025/12/01 10:09:16,457,0,UberEats,VM14253927,,辣豆瓣嫩牛潛艇堡套餐 6-Inch Mala Beef Sub(1)|6吋鮪魚潛艇堡 6-Inch Tuna Sub(1)
2025/12/01 10:14:08,160,0,Line Pay,VM14253928,,鮪魚堡6吋(1)|蛋沙拉1球(1)
2025/12/01 10:17:58,218,0,現金,VM14253929,,鮪魚沙拉(1)|照燒雞肉雙份肉料(1)
2025/12/01 10:24:31,88,0,現金,VM14253930,,套餐火腿起司蛋(1)
2025/12/01 10:36:25,128,0,現金,VM14253931,,照燒雞肉堡6吋(1)
2025/12/01 10:42:57,268,0,現金,VM14253932,,厚切嫩牛堡12吋(1)
2025/12/01 10:54:17,181,0,現金,VM14253933,,百味俱樂部堡6吋(1)|A套餐(1)
2025/12/01 11:04:47,434,0,現金,VM14253934,,鮮嫩雞柳堡6吋(1)|厚切嫩牛堡6吋(1)|嫩煎蛋一片(1)|嫩煎蛋一片(1)|酪梨泥一球(1)|酪梨泥一球(1)
2025/12/01 11:09:26,285,0,信用卡,VM14253935,,鮮嫩雞柳堡12吋(1)|餅乾3片(1)
2025/12/01 11:20:35,295,0,現金,VM14253936,,鮮嫩雞柳堡6吋(1)|酪梨泥一球(1)|哈燒起司總匯堡6吋(1)
2025/12/01 11:21:25,213,0,UberEats,VM14253937,,6吋百味俱樂部潛艇堡 6-Inch Subway ClubTM Sub(1)
2025/12/01 11:27:22,218,0,UberEats,VM14253938,,6吋嫩切雞肉潛艇堡 6-Inch Sliced Chicken Sub(1)|單點薯片 Chips(1)
2025/12/01 11:29:18,236,0,UberEats,VM14253939,,單點現烤餅乾一片 Cookie1 pc(1)|6吋鮪魚潛艇堡 6-Inch Tuna Sub(1)
2025/12/01 11:31:07,524,0,信用卡,VM14253940,,燒烤牛肉堡12吋(1)|厚切嫩牛堡6吋(1)|香烤雞肉堡6吋(1)
2025/12/01 11:35:12,110,0,現金,VM14253941,,嫩切雞肉堡6吋(1)
2025/12/01 11:43:10,180,0,現金,VM14253942,,蜜桃果茶(4)
2025/12/01 11:48:20,319,0,Line Pay,VM14253943,,義大利經典堡12吋(1)|美式咖啡冰(1)|美式咖啡熱(1)
2025/12/01 11:55:33,803,0,現金,VM14253944,,厚切嫩牛堡6吋(1)|蛋沙拉堡6吋(1)|嫩煎蛋一片(1)|嫩煎蛋一片(1)|鮪魚堡6吋(1)|蛋沙拉1球(1)|厚切嫩牛堡6吋(1)|蛋沙拉1球(1)|蛋沙拉堡6吋(1)
2025/12/01 12:02:29,225,0,現金,VM14253945,,哈燒起司總匯堡12吋(1)
2025/12/01 12:04:18,102,0,現金,VM14253946,,嫩雞沙拉捲餅(1)
2025/12/01 12:04:44,110,0,信用卡,VM14253947,,嫩切雞肉堡6吋(1)
2025/12/01 12:05:30,164,0,現金,VM14253948,,素食蔬菜堡12吋(1)
2025/12/01 12:11:34,139,0,現金,VM14253949,,燒烤牛肉堡6吋(1)
2025/12/01 12:14:23,149,0,Line Pay,VM14253950,,厚切嫩牛堡6吋(1)
2025/12/01 12:15:43,110,0,Line Pay,VM14253951,,嫩切雞肉堡6吋(1)
2025/12/01 12:18:21,145,0,現金,VM14253952,,嫩切雞肉堡6吋(1)|蛋沙拉1球(1)
2025/12/01 12:22:35,225,0,現金,VM14253953,,鮮嫩雞柳堡12吋(1)
2025/12/01 12:24:11,128,0,現金,VM14253954,,照燒雞肉堡6吋(1)
2025/12/01 12:25:07,208,0,現金,VM14253955,,鮮嫩雞柳堡6吋(1)|蛋沙拉1球(1)|A套餐(1)
2025/12/01 12:26:17,260,0,信用卡,VM14253956,,香烤雞肉堡12吋(1)|嫩煎蛋一片(1)
2025/12/01 12:28:02,180,0,現金,VM14253957,,香烤雞肉堡6吋(1)|香烤雞肉雙份肉料(1)
2025/12/01 12:29:11,160,0,信用卡,VM14253958,,鮮嫩雞柳堡6吋(1)|蛋沙拉1球(1)
2025/12/01 12:29:57,314,0,現金,VM14253959,,香烤雞肉堡6吋(1)|火腿堡12吋(1)
2025/12/01 12:33:30,160,0,Line Pay,VM14253960,,鮮嫩雞柳堡6吋(1)|嫩煎蛋一片(1)
2025/12/01 12:34:14,268,0,現金,VM14253961,,厚切嫩牛堡12吋(1)
2025/12/01 12:36:25,170,0,Line Pay,VM14253962,,鮮嫩雞柳堡6吋(1)|酪梨泥一球(1)
2025/12/01 12:44:44,575,0,信用卡,VM14253964,,火腿堡6吋(1)|火腿堡6吋(1)|蛋沙拉1球(1)|酪梨泥一球(1)|C套餐(2)|火腿堡6吋(1)|餅乾3片(1)
2025/12/01 12:44:07,110,0,信用卡,VM14253963,,嫩切雞肉堡6吋(1)
2025/12/01 12:47:17,230,0,現金,VM14253965,,百味俱樂部堡12吋(1)
2025/12/01 12:49:39,312,0,現金,VM14253966,,厚切嫩牛堡6吋(1)|照燒雞肉堡6吋(1)|嫩煎蛋一片(1)
2025/12/01 12:57:45,129,0,Line Pay,VM14253967,,義大利牛肉丸堡6吋(1)
2025/12/01 12:59:39,110,0,Line Pay,VM14253968,,嫩切雞肉堡6吋(1)
2025/12/01 13:02:54,0,55,,00000000,2101130002員工餐0元,鮮嫩雞柳雙份肉料(1)
2025/12/01 13:07:23,164,0,現金,VM14253969,,燒烤牛肉堡6吋(1)|餅乾1片(1)
2025/12/01 13:10:01,257,0,現金,VM14253970,,義大利牛肉丸堡6吋(1)|照燒雞肉堡6吋(1)
