時間,交易金額,折扣金額,種類,發票編號,客戶編號,品項
2025/12/04 08:03:21,154,0,現金,VM14254381,,厚切牛起司蛋堡(1)|培根起司蛋堡(1)
2025/12/04 08:04:57,88,0,現金,VM14254382,,套餐火腿起司蛋(1)
2025/12/04 08:07:44,137,0,現金,VM14254383,,素食蔬菜堡6吋(1)|B套餐(1)
2025/12/04 08:13:57,138,0,Line Pay,VM14254384,,墨西哥辣牛堡6吋(1)|切絲巧達起司一份(1)
2025/12/04 08:29:17,150,0,現金,VM14254385,,套餐火腿起司蛋(1)|火腿起司蛋堡(1)
2025/12/04 08:44:11,135,0,現金,VM14254386,,義大利經典堡6吋(1)
2025/12/04 08:47:38,165,0,信用卡,VM14254387,,蛋沙拉沙拉(1)
2025/12/04 08:52:19,215,0,信用卡,VM14254388,,哈燒起司總匯堡6吋(1)|酪梨泥一球(1)|樹頂100%蘋果汁玻璃瓶(1)
2025/12/04 08:55:58,108,0,信用卡,VM14254389,,套餐厚牛起司蛋(1)
2025/12/04 08:58:45,357,0,信用卡,VM14254390,,義大利經典堡12吋(1)|酪梨泥一球(1)|蘑菇濃湯(1)
2025/12/04 09:04:31,234,0,Line Pay,VM14254391,,厚切嫩牛堡6吋(1)|F套餐(1)
2025/12/04 09:07:46,110,0,現金,VM14254392,,嫩切雞肉堡6吋(1)
2025/12/04 09:15:05,143,0,信用卡,VM14254393,,套餐培根起司蛋(1)|酪梨泥一球(1)
2025/12/04 09:16:30,282,0,信用卡,VM14254394,,義大利牛肉丸堡6吋(1)|火腿堡6吋(1)|A套餐(1)
2025/12/04 09:21:20,170,0,現金,VM14254395,,香烤雞肉堡6吋(1)|酪梨泥一球(1)
2025/12/04 09:31:29,228,0,Line Pay,VM14254396,,套餐厚牛起司蛋(1)|套餐厚牛起司蛋(1)
2025/12/04 09:53:41,148,0,現金,VM14254397,,墨西哥辣牛堡6吋(1)|美式咖啡熱(1)
2025/12/04 10:22:42,438,0,現金,VM14254398,,厚切嫩牛堡12吋(1)|鮮嫩雞柳堡6吋(1)|酪梨泥一球(1)
2025/12/04 10:45:07,50,0,Line Pay,VM14254399,,金選奶茶熱(1)
2025/12/04 10:49:08,30,0,Line Pay,VM14254400,,588ml鹼性離子水(1)
2025/12/04 10:49:31,244,0,現金,VM14254401,,厚切嫩牛堡6吋(1)|蛋沙拉1球(1)|C套餐(1)
2025/12/04 10:52:11,115,0,現金,VM14254402,,墨西哥辣牛堡6吋(1)
2025/12/04 10:54:46,252,0,信用卡,VM14254403,,厚切嫩牛堡6吋(1)|厚切嫩牛雙份肉料(1)|A套餐(1)
2025/12/04 10:57:12,209,0,UberEats,VM14254404,,6吋照燒雞肉潛艇堡 6-Inch Chicken Teriyaki Sub(1)
2025/12/04 11:02:45,480,0,UberEats,VM14254405,,6吋鮮嫩雞柳潛艇堡 6-Inch Chicken Strips Sub(1)|6吋香烤雞肉潛艇堡 6-Inch Roasted Chicken Breast Sub(1)
2025/12/04 11:14:28,20,0,信用卡,VM14254406,,續杯(1)
2025/12/04 11:16:56,706,0,UberEats,VM14254407,,嫩雞沙拉捲餅 Tender Chicken Salad Wrap(1)|墨西哥辣牛沙拉 Taco Beef Salad(1)|辣豆瓣嫩牛可樂優惠套餐 6-Inch Mala Beef Sub with Coke Zero Meal Set(1)
2025/12/04 11:24:37,210,0,現金,VM14254408,,香烤雞肉堡6吋(1)|F套餐(1)
2025/12/04 11:30:53,128,0,現金,VM14254409,,照燒雞肉堡6吋(1)
2025/12/04 11:32:46,316,0,FoodPanda,VM14254410,,蛋沙拉百味(1)
2025/12/04 11:34:04,176,0,現金,VM14254411,,百味俱樂部堡6吋(1)|A套餐(1)
2025/12/04 11:36:06,225,0,信用卡,VM14254412,,鮪魚堡12吋(1)
2025/12/04 11:38:23,189,0,Line Pay,VM14254413,,火腿堡12吋(1)
2025/12/04 11:41:14,150,0,現金,VM14254414,,餅乾1片(1)|鮪魚堡6吋(1)
2025/12/04 11:48:51,403,0,FoodPanda,VM14254415,,火腿(1)|義大利經典(1)
2025/12/04 11:55:34,236,0,現金,VM14254416,,嫩雞沙拉捲餅(1)|素食蔬菜沙拉(1)
2025/12/04 12:01:30,262,0,Line Pay,VM14254417,,厚切嫩牛堡6吋(1)|嫩煎蛋一片(1)|D套餐(1)
2025/12/04 12:04:42,225,0,UberEats,VM14254418,,6吋墨西哥辣牛潛艇堡 6-Inch Taco Beef Sub(1)|單點現烤餅乾一片 Cookie1 pc(1)
