時間,交易金額,折扣金額,種類,發票編號,客戶編號,品項
2025/12/14 07:37:12,219,0,UberEats,VM14255904,,6吋嫩切雞肉潛艇堡 6-Inch Sliced Chicken Sub(1)
2025/12/14 07:48:04,203,0,UberEats,VM14255905,,辣豆瓣嫩牛可樂優惠套餐 6-Inch Mala Beef Sub with Coke Zero Meal Set(1)|活動折扣(Uber eats)(1)
2025/12/14 08:09:35,428,0,現金,VM14255908,,厚切牛起司蛋堡(2)|蘑菇濃湯(1)|鮪魚堡6吋(1)|蛋沙拉1球(1)|嫩煎蛋一片(1)
2025/12/14 08:02:32,261,0,信用卡,VM14255906,,套餐厚牛起司蛋(1)|套餐厚牛起司蛋(1)|酪梨泥一球(1)
2025/12/14 08:07:45,139,0,Line Pay,VM14255907,,燒烤牛肉堡6吋(1)
2025/12/14 08:11:29,230,0,現金,VM14255909,,照燒雞肉堡12吋(1)
2025/12/14 08:12:43,396,0,Line Pay,VM14255910,,嫩切雞肉堡6吋(1)|蛋沙拉烤餅6吋(1)|D套餐(1)|D套餐(1)
2025/12/14 08:20:28,206,0,UberEats,VM14255911,,6吋鮪魚潛艇堡 6-Inch Tuna Sub(1)
2025/12/14 08:31:39,82,0,Line Pay,VM14255912,,厚切牛起司蛋堡(1)
2025/12/14 09:08:02,153,0,Line Pay,VM14255913,,套餐厚牛起司蛋(1)|酪梨泥一球(1)
2025/12/14 09:21:00,313,0,信用卡,VM14255914,,套餐厚牛起司蛋(1)|套餐火腿起司蛋(1)|酪梨泥一球(1)|餅乾3片(1)
2025/12/14 09:25:56,134,0,信用卡,VM14255915,,厚切牛起司蛋堡(1)|起司蛋堡(1)
2025/12/14 09:28:05,657,0,信用卡,VM14255916,,義大利牛肉丸堡12吋(1)|百味俱樂部堡12吋(1)|C套餐(2)|F套餐(1)
2025/12/14 09:32:50,202,0,現金,VM14255917,,厚切牛起司蛋堡(1)|套餐厚牛起司蛋(1)
2025/12/14 09:40:12,360,0,信用卡,VM14255918,,套餐培根起司蛋(2)|厚切牛起司蛋堡(2)
2025/12/14 09:45:16,392,0,信用卡,VM14255919,,蛋沙拉堡12吋(1)|A套餐(1)|A套餐(1)|蛋沙拉1球(2)
2025/12/14 09:49:30,177,0,現金,VM14255920,,燒烤牛肉堡6吋(1)|美式咖啡熱(1)
2025/12/14 09:51:18,110,0,信用卡,VM14255921,,嫩切雞肉堡6吋(1)
2025/12/14 09:58:09,214,0,UberEats,VM14255922,,墨西哥辣牛沙拉 Taco Beef Salad(1)
2025/12/14 10:03:33,208,0,信用卡,VM14255923,,套餐起司蛋(1)|套餐起司蛋(1)|火腿起司蛋堡(1)
2025/12/14 10:09:26,893,0,現金,VM14255924,,厚切牛起司蛋堡(2)|香烤雞肉烤餅6吋(1)|火腿堡6吋(1)|哈燒起司總匯堡6吋(1)|蛋沙拉1球(2)|A套餐(1)|D套餐(1)|F套餐(1)|D套餐(1)
2025/12/14 10:15:58,150,0,現金,VM14255925,,嫩雞沙拉捲餅(1)|A套餐(1)
2025/12/14 10:17:18,220,0,Line Pay,VM14255926,,香烤雞肉堡6吋(1)|酪梨泥一球(1)|拿鐵冰(1)
