時間,交易金額,折扣金額,種類,發票編號,客戶編號,品項
2025/11/29 08:13:54,178,0,現金,VM14253595,,鮮嫩雞柳堡6吋(1)|A套餐(1)
2025/11/29 08:22:34,439,0,信用卡,VM14253596,,燒烤牛肉堡12吋(1)|火腿堡12吋(1)
2025/11/29 08:28:56,82,0,Line Pay,VM14253597,,厚切牛起司蛋堡(1)
2025/11/29 08:30:07,130,0,Line Pay,VM14253598,,厚切牛起司蛋堡(1)|A套餐(1)
2025/11/29 08:33:00,159,0,Line Pay,VM14253599,,辣豆瓣嫩牛6吋(1)
2025/11/29 08:40:10,530,0,現金,VM14253600,,照燒雞肉烤餅12吋(1)|哈燒起司總匯烤餅12吋(1)|蛋沙拉1球(1)
2025/11/29 08:43:17,128,0,現金,VM14253601,,百味俱樂部堡6吋(1)
2025/11/29 08:44:28,78,0,現金,VM14253602,,套餐起司蛋(1)
2025/11/29 08:48:44,461,0,現金,VM14253603,,墨西哥辣牛堡12吋(1)|蛋沙拉1球(1)|蛋沙拉1球(1)|蛋沙拉1球(1)|厚切嫩牛堡6吋(1)
2025/11/29 08:56:04,156,0,現金,VM14253604,,套餐起司蛋(1)|套餐起司蛋(1)
2025/11/29 09:01:40,204,0,現金,VM14253605,,厚切嫩牛堡6吋(1)|厚切嫩牛雙份肉料(1)
2025/11/29 09:02:52,105,0,Line Pay,VM14253606,,火腿堡6吋(1)
2025/11/29 09:14:43,195,0,現金,VM14253607,,鮮嫩雞柳堡6吋(1)|酪梨泥一球(1)|餅乾1片(1)
2025/11/29 09:20:55,349,0,Line Pay,VM14253608,,義大利經典堡12吋(1)|A套餐(1)|A套餐(1)
2025/11/29 09:23:20,62,0,Line Pay,VM14253609,,火腿起司蛋堡(1)
2025/11/29 09:28:47,269,0,現金,VM14253610,,燒烤牛肉堡6吋(1)|蛋沙拉1球(1)|酪梨泥一球(1)|拿鐵熱(1)
2025/11/29 09:32:14,268,0,現金,VM14253611,,厚切牛起司蛋堡(1)|套餐培根起司蛋(1)|套餐火腿起司蛋(1)
2025/11/29 09:37:13,149,0,Line Pay,VM14253612,,厚切嫩牛堡6吋(1)
2025/11/29 10:10:41,217,0,Line Pay,VM14253613,,厚切牛起司蛋堡(1)|厚切牛起司蛋堡(1)|A套餐(1)
2025/11/29 10:41:20,785,0,信用卡,VM14253616,,厚切牛起司蛋堡(1)|照燒雞肉堡12吋(1)|照燒雞肉堡12吋(1)|義大利經典堡12吋(1)
2025/11/29 10:39:37,296,0,FoodPanda,VM14253614,,香烤雞肉(1)|外送單點(3)
2025/11/29 10:40:02,209,0,FoodPanda,VM14253615,,照燒雞肉(1)
2025/11/29 10:44:06,62,0,Line Pay,VM14253617,,火腿起司蛋堡(1)
2025/11/29 10:50:15,274,0,現金,VM14253618,,鮪魚堡6吋(1)|厚切嫩牛堡6吋(1)
2025/11/29 10:54:36,164,0,現金,VM14253619,,厚切牛起司蛋堡(2)
2025/11/29 10:56:45,473,0,Line Pay,VM14253620,,培根起司蛋堡(1)|培根起司蛋堡(1)|酪梨泥一球(1)|蛋沙拉1球(1)|C套餐(1)|A套餐(1)|火腿起司蛋堡(1)|火腿起司蛋堡(1)
2025/11/29 11:02:43,125,0,現金,VM14253621,,哈燒起司總匯堡6吋(1)
2025/11/29 11:05:05,184,0,現金,VM14253622,,燒烤牛肉堡6吋(1)|酪梨泥一球(1)
