時間,交易金額,折扣金額,種類,發票編號,客戶編號,品項
2025/11/24 08:13:13,160,0,現金,VM14252857,,套餐培根起司蛋(1)|火腿起司蛋堡(1)
2025/11/24 08:12:42,82,0,現金,VM14252856,,厚切牛起司蛋堡(1)
2025/11/24 08:24:47,125,0,現金,VM14252858,,鮮嫩雞柳堡6吋(1)
2025/11/24 08:26:23,125,0,現金,VM14252859,,鮪魚堡6吋(1)
2025/11/24 08:28:59,208,0,現金,VM14252860,,起司蛋堡(1)|起司蛋堡(1)|起司蛋堡(1)|起司蛋堡(1)
2025/11/24 08:33:34,199,0,現金,VM14252861,,厚切嫩牛堡6吋(1)|拿鐵熱(1)
2025/11/24 08:36:20,290,0,現金,VM14252862,,照燒雞肉堡12吋(1)|C套餐(1)
2025/11/24 08:38:03,310,0,現金,VM14252863,,燒烤牛肉堡12吋(1)|C套餐(1)
2025/11/24 08:39:43,82,0,現金,VM14252864,,厚切牛起司蛋堡(1)
2025/11/24 08:40:37,305,0,現金,VM14252865,,燒烤牛肉堡12吋(1)|C套餐(1)
2025/11/24 08:43:36,326,0,現金,VM14252866,,鮮嫩雞柳堡6吋(1)|厚切嫩牛堡6吋(1)|起司蛋堡(1)
2025/11/24 08:46:14,136,0,現金,VM14252867,,套餐培根起司蛋(1)|美式咖啡熱(1)
2025/11/24 08:47:10,295,0,現金,VM14252868,,香烤雞肉堡12吋(1)|蛋沙拉1球(1)|蛋沙拉1球(1)
2025/11/24 08:49:05,250,0,現金,VM14252869,,燒烤牛肉堡12吋(1)
2025/11/24 09:01:03,552,0,現金,VM14252870,,厚切嫩牛堡6吋(1)|厚切嫩牛雙份肉料(1)|鮪魚堡12吋(1)|蛋沙拉1球(1)|蛋沙拉1球(1)|A套餐(1)
2025/11/24 09:07:42,125,0,現金,VM14252871,,香烤雞肉堡6吋(1)
2025/11/24 09:16:55,108,0,現金,VM14252872,,套餐厚牛起司蛋(1)
2025/11/24 09:27:46,0,139,,00000000,2101130002員工餐0元,燒烤牛肉堡6吋(1)
2025/11/24 09:28:16,0,225,,00000000,2101130002員工餐0元,香烤雞肉堡12吋(1)
2025/11/24 09:40:12,225,0,現金,VM14252873,,香烤雞肉堡12吋(1)
2025/11/24 10:01:26,0,129,,00000000,2101130002員工餐0元,義大利牛肉丸堡6吋(1)
2025/11/24 10:15:34,312,0,現金,VM14252874,,義大利經典堡6吋(1)|燒烤牛肉堡6吋(1)|美式咖啡熱(1)
2025/11/24 10:24:10,88,0,現金,VM14252875,,套餐火腿起司蛋(1)
2025/11/24 10:27:28,387,0,現金,VM14252876,,培根起司蛋堡(1)|C套餐(1)|套餐厚牛起司蛋(1)|義大利經典堡6吋(1)
2025/11/24 10:31:54,187,0,現金,VM14252877,,厚切嫩牛堡6吋(1)|美式咖啡冰(1)
2025/11/24 10:34:04,256,0,現金,VM14252878,,厚切牛起司蛋堡(1)|C套餐(1)|嫩雞沙拉捲餅(1)
2025/11/24 10:35:52,147,0,現金,VM14252879,,厚切牛起司蛋堡(1)|A套餐(1)
2025/11/24 10:37:47,333,0,現金,VM14252880,,鮪魚堡12吋(1)|蛋沙拉1球(1)|蛋沙拉1球(1)|美式咖啡熱(1)
2025/11/24 10:42:54,178,0,現金,VM14252881,,A套餐(1)|鮮嫩雞柳堡6吋(1)
2025/11/24 11:03:55,193,0,現金,VM14252882,,百味俱樂部堡6吋(1)|A套餐(1)
2025/11/24 11:12:21,270,0,現金,VM14252883,,蛋沙拉堡6吋(1)|嫩煎蛋一片(1)|嫩切雞肉雙份肉料(1)|餅乾3片(1)
2025/11/24 11:15:07,243,0,現金,VM14252884,,墨西哥辣牛堡6吋(1)|照燒雞肉堡6吋(1)
2025/11/24 11:25:51,456,0,現金,VM14252885,,百味俱樂部堡6吋(1)|厚切嫩牛堡12吋(1)|餅乾3片(1)
2025/11/24 11:33:38,434,0,FoodPanda,VM14252886,,義大利經典(1)|義大利經典(1)
2025/11/24 11:36:37,663,0,現金,VM14252887,,墨西哥辣牛堡12吋(1)|蛋沙拉1球(1)|蛋沙拉1球(1)|燒烤牛肉堡12吋(1)|C套餐(1)|美式咖啡熱(1)|美式咖啡熱(1)
2025/11/24 11:42:15,139,0,現金,VM14252888,,燒烤牛肉堡6吋(1)
2025/11/24 11:43:49,160,0,現金,VM14252889,,鮪魚堡6吋(1)|蛋沙拉1球(1)
2025/11/24 11:47:47,636,0,現金,VM14252890,,鮮嫩雞柳堡6吋(1)|百味俱樂部堡6吋(1)|培根1條(1)|厚切嫩牛堡6吋(1)|A套餐(1)|鮮嫩雞柳沙拉(1)
2025/11/24 11:51:56,225,0,現金,VM14252891,,鮮嫩雞柳堡12吋(1)
2025/11/24 11:53:35,445,0,現金,VM14252892,,燒烤牛肉堡6吋(1)|厚切嫩牛堡6吋(1)|厚切嫩牛雙份肉料(1)|嫩雞沙拉捲餅(1)
2025/11/24 11:56:11,94,0,現金,VM14252893,,鷹嘴豆泥捲餅(1)
2025/11/24 11:58:10,313,0,現金,VM14252894,,哈燒起司總匯堡6吋(1)|義大利經典堡6吋(1)|A套餐(1)
2025/11/24 12:02:39,206,0,FoodPanda,VM14252895,,鮮嫩雞柳(1)
2025/11/24 12:03:48,268,0,現金,VM14252896,,厚切嫩牛堡12吋(1)
2025/11/24 12:46:25,336,0,現金,VM14252916,,照燒雞肉堡6吋(1)|蛋沙拉1球(1)|義大利經典堡6吋(1)|杯裝飲料(22oz)(1)
2025/11/24 12:07:53,232,0,現金,VM14252897,,厚切嫩牛堡6吋(1)|蛋沙拉1球(1)|A套餐(1)
2025/11/24 12:09:45,138,0,現金,VM14252898,,百味俱樂部烤餅6吋(1)
2025/11/24 12:10:53,169,0,現金,VM14252899,,素食蔬菜沙拉(1)|蛋沙拉1球(1)
2025/11/24 12:11:48,539,0,現金,VM14252900,,辣豆瓣嫩牛12吋(1)|酪梨泥一球(1)|酪梨泥一球(1)|鮮嫩雞柳沙拉(1)
2025/11/24 12:13:23,174,0,現金,VM14252901,,燒烤牛肉堡6吋(1)|嫩煎蛋一片(1)
2025/11/24 12:14:39,185,0,現金,VM14252902,,鮮嫩雞柳堡6吋(1)|A套餐(1)
2025/11/24 12:16:20,268,0,現金,VM14252903,,厚切嫩牛堡12吋(1)
2025/11/24 12:19:07,149,0,現金,VM14252904,,厚切嫩牛堡6吋(1)
2025/11/24 12:21:02,292,0,現金,VM14252905,,素食蔬菜堡12吋(1)|百味俱樂部堡6吋(1)
2025/11/24 12:22:39,198,0,現金,VM14252906,,嫩切雞肉堡12吋(1)
2025/11/24 12:25:00,163,0,現金,VM14252907,,鮪魚沙拉(1)
2025/11/24 12:26:47,149,0,現金,VM14252908,,厚切嫩牛堡6吋(1)
2025/11/24 12:30:40,160,0,現金,VM14252909,,鮮嫩雞柳堡6吋(1)|嫩煎蛋一片(1)
2025/11/24 12:32:25,110,0,現金,VM14252910,,嫩切雞肉堡6吋(1)
2025/11/24 12:36:13,391,0,現金,VM14252911,,鮮嫩雞柳堡12吋(1)|嫩煎蛋一片(1)|嫩煎蛋一片(1)|B套餐(1)|B套餐(1)
2025/11/24 12:39:28,259,0,FoodPanda,VM14252912,,墨西哥辣牛沙拉(1)|加料(1)
2025/11/24 12:40:28,361,0,現金,VM14252913,,嫩雞沙拉捲餅(1)|辣豆瓣嫩牛6吋(1)|金選奶茶熱(1)|金選奶茶熱(1)
2025/11/24 12:43:55,204,0,現金,VM14252914,,嫩切雞肉堡6吋(1)|鷹嘴豆泥捲餅(1)
2025/11/24 12:44:51,159,0,現金,VM14252915,,辣豆瓣嫩牛6吋(1)
2025/11/24 12:47:41,221,0,現金,VM14252917,,百味俱樂部堡6吋(1)|酪梨泥一球(1)|A套餐(1)
2025/11/24 12:49:06,364,0,現金,VM14252918,,鮮嫩雞柳堡6吋(1)|厚切嫩牛堡6吋(1)|酪梨泥一球(1)|酪梨泥一球(1)
2025/11/24 12:52:24,383,0,現金,VM14252919,,蛋沙拉堡6吋(1)|照燒雞肉堡6吋(1)|鮪魚烤餅6吋(1)
2025/11/24 12:55:00,152,0,現金,VM14252920,,辣牛沙拉捲餅(1)|卡布奇諾熱(1)
2025/11/24 13:07:55,194,0,現金,VM14252921,,厚切嫩牛堡6吋(1)|酪梨泥一球(1)
2025/11/24 13:09:44,163,0,現金,VM14252922,,嫩切雞肉堡6吋(1)|A套餐(1)
2025/11/24 13:13:32,105,0,現金,VM14252923,,火腿堡6吋(1)
2025/11/24 13:14:59,235,0,現金,VM14252924,,照燒雞肉沙拉(1)|A套餐(1)
2025/11/24 13:19:27,156,0,現金,VM14252925,,照燒雞肉堡6吋(1)|杯裝飲料(16oz)(1)
2025/11/24 13:21:55,139,0,現金,VM14252926,,燒烤牛肉堡6吋(1)
2025/11/24 13:23:01,128,0,現金,VM14252927,,百味俱樂部堡6吋(1)
2025/11/24 13:24:06,325,0,現金,VM14252928,,照燒雞肉堡6吋(1)|厚切嫩牛堡6吋(1)|A套餐(1)
