時間,交易金額,折扣金額,種類,發票編號,客戶編號,品項
2026/01/04 07:45:35,69,0,現金,XK36103223,,蘑菇濃湯(1)
2026/01/04 08:16:40,52,0,現金,XK36103224,,起司蛋堡(1)
2026/01/04 10:02:08,573,0,現金,XK36103236,,厚切牛起司蛋堡(1)|火腿起司蛋堡(1)|起司蛋烤餅(1)|蘑菇濃湯(3)|奶油餅乾6片組(1)
2026/01/04 08:24:51,128,0,現金,XK36103225,,百味俱樂部堡6吋(1)
2026/01/04 08:25:25,550,0,信用卡,XK36103226,,厚切牛起司蛋堡(1)|雙重起司厚牛6吋(1)|蛋沙拉堡6吋(1)|G套餐(1)|G套餐(1)|A套餐(1)
2026/01/04 08:30:43,208,0,信用卡,XK36103227,,起司蛋堡(3)|起司蛋堡(1)
2026/01/04 08:32:13,170,0,現金,XK36103228,,厚切牛起司蛋堡(1)|套餐火腿起司蛋(1)
2026/01/04 08:36:03,253,0,信用卡,XK36103229,,墨西哥辣牛堡12吋(1)|培根1條(1)|培根1條(1)
2026/01/04 08:39:55,135,0,現金,XK36103230,,義大利經典堡6吋(1)
2026/01/04 08:47:33,108,0,現金,XK36103231,,套餐厚牛起司蛋(1)
2026/01/04 09:05:41,176,0,現金,XK36103232,,套餐起司蛋(1)|套餐培根起司蛋(1)
2026/01/04 09:27:11,222,0,現金,XK36103233,,厚切嫩牛堡6吋(1)|嫩煎蛋一片(1)|美式咖啡熱(1)
2026/01/04 09:35:37,193,0,Line Pay,XK36103234,,墨西哥辣牛堡6吋(1)|D套餐(1)
2026/01/04 09:44:26,648,0,現金,XK36103235,,培根起司蛋堡(1)|火腿起司蛋堡(1)|A套餐(1)|雙重起司厚牛12吋(1)|嫩雞沙拉捲餅(1)|F套餐(1)
2026/01/04 10:03:09,350,0,現金,XK36103237,,哈燒起司總匯堡12吋(1)|哈燒起司總匯堡6吋(1)
2026/01/04 10:05:04,172,0,現金,XK36103238,,嫩雞沙拉捲餅(1)|酪梨泥一球(1)|餅乾1片(1)
2026/01/04 10:12:04,144,0,現金,XK36103239,,培根起司蛋堡(2)
2026/01/04 10:16:02,160,0,現金,XK36103240,,香烤雞肉堡6吋(1)|蛋沙拉1球(1)
2026/01/04 10:17:21,125,0,信用卡,XK36103241,,香烤雞肉堡6吋(1)
2026/01/04 10:18:30,155,0,現金,XK36103242,,雙重起司厚牛6吋(1)
2026/01/04 10:19:57,186,0,Line Pay,XK36103243,,火腿起司蛋堡(3)
2026/01/04 10:29:45,125,0,信用卡,XK36103244,,鮮嫩雞柳堡6吋(1)
2026/01/04 10:32:43,73,0,現金,XK36103245,,套餐起司蛋(1)
2026/01/04 10:41:18,45,0,信用卡,XK36103246,,蜜桃果茶(1)
2026/01/04 10:49:24,110,0,現金,XK36103247,,嫩切雞肉堡6吋(1)
2026/01/04 10:55:42,225,0,現金,XK36103248,,鮮嫩雞柳堡12吋(1)
2026/01/04 11:14:23,225,0,現金,XK36103249,,鮮嫩雞柳堡12吋(1)
2026/01/04 11:20:53,145,0,Line Pay,XK36103250,,嫩切雞肉堡6吋(1)|蛋沙拉1球(1)
2026/01/04 11:25:09,229,0,信用卡,XK36103251,,義大利牛肉丸堡6吋(1)|C套餐(1)|酪梨泥一球(1)
2026/01/04 11:26:14,367,0,現金,XK36103252,,義大利牛肉丸堡12吋(1)|酪梨泥一球(2)|低卡覆盆子果茶(1)
2026/01/04 11:28:31,170,0,現金,XK36103253,,鮮嫩雞柳堡6吋(1)|酪梨泥一球(1)
2026/01/04 11:49:56,457,0,Line Pay,XK36103259,,厚切嫩牛沙拉(1)|酪梨泥一球(1)|蘑菇濃湯(1)|雙重起司厚牛6吋(1)
2026/01/04 11:38:44,205,0,現金,XK36103254,,鮪魚堡6吋(1)|蛋沙拉1球(1)|酪梨泥一球(1)
2026/01/04 11:44:11,152,0,信用卡,XK36103255,,嫩雞沙拉捲餅(1)|拿鐵熱(1)
2026/01/04 11:44:57,419,0,信用卡,XK36103256,,燒烤牛肉堡6吋(1)|鷹嘴豆泥餅堡6吋(1)|H套餐(1)|餅乾3片(1)
2026/01/04 11:47:26,60,0,Line Pay,XK36103257,,餅乾3片(1)
2026/01/04 11:48:09,249,0,現金,XK36103258,,厚切嫩牛堡6吋(1)|香烤雞肉雙份肉料(1)|酪梨泥一球(1)
2026/01/04 11:51:12,128,0,信用卡,XK36103260,,照燒雞肉堡6吋(1)
2026/01/04 11:52:06,213,0,Line Pay,XK36103261,,義大利經典堡6吋(1)|D套餐(1)
2026/01/04 11:57:45,750,0,信用卡,XK36103262,,燒烤牛肉堡12吋(1)|厚切嫩牛堡12吋(1)|嫩煎蛋一片(4)|培根1條(4)
2026/01/04 12:04:15,572,0,FoodPanda,XK36103263,,蛋沙拉百味(1)|加料(1)|酪梨香烤雞(1)
2026/01/04 12:05:10,135,0,Line Pay,XK36103264,,義大利經典堡6吋(1)
2026/01/04 12:05:46,210,0,現金,XK36103265,,香烤雞肉堡6吋(1)|F套餐(1)
2026/01/04 12:06:33,163,0,現金,XK36103266,,鮮嫩雞柳沙拉(1)
2026/01/04 12:08:14,238,0,信用卡,XK36103267,,嫩切雞肉堡6吋(1)|照燒雞肉堡6吋(1)
2026/01/04 12:11:00,149,0,現金,XK36103268,,厚切嫩牛堡6吋(1)
2026/01/04 12:12:44,373,0,信用卡,XK36103269,,嫩切雞肉堡12吋(1)|嫩切雞肉雙份肉料(1)|嫩切雞肉雙份肉料(1)|A套餐(1)
2026/01/04 12:14:16,400,0,現金,XK36103270,,雙重起司厚牛6吋(1)|C套餐(1)|義大利經典堡6吋(1)|杯裝飲料(22oz)(1)
2026/01/04 12:19:28,179,0,現金,XK36103271,,嫩切雞肉堡6吋(1)|蘑菇濃湯(1)
2026/01/04 12:22:02,454,0,現金,XK36103272,,火腿堡12吋(2)|杯裝飲料(22oz)(2)
2026/01/04 12:24:41,230,0,現金,XK36103273,,照燒雞肉堡12吋(1)
2026/01/04 12:25:55,445,0,FoodPanda,XK36103274,,墨西哥辣椒起司厚牛(1)|鮪魚(1)
2026/01/04 12:26:55,245,0,Line Pay,XK36103275,,香烤雞肉堡6吋(1)|蛋沙拉堡6吋(1)
2026/01/04 12:28:21,285,0,信用卡,XK36103276,,鮮嫩雞柳堡6吋(1)|嫩煎蛋一片(1)|三角切片起司一份(1)|嫩雞沙拉捲餅(1)
2026/01/04 12:29:27,268,0,現金,XK36103277,,厚切嫩牛堡12吋(1)
2026/01/04 12:30:11,207,0,現金,XK36103278,,墨西哥辣牛堡12吋(1)
2026/01/04 12:33:44,583,0,現金,XK36103279,,香烤雞肉堡6吋(1)|鮮嫩雞柳堡6吋(1)|雙重起司厚牛6吋(1)|C套餐(1)|美式咖啡熱(1)|F套餐(1)
2026/01/04 12:41:12,304,0,現金,XK36103280,,燒烤牛肉堡6吋(1)|蛋沙拉沙拉(1)
2026/01/04 12:44:42,273,0,Line Pay,XK36103281,,鮪魚堡12吋(1)|A套餐(1)
2026/01/04 12:48:07,322,0,現金,XK36103282,,義大利牛肉丸堡12吋(1)|酪梨泥一球(2)
2026/01/04 12:51:26,183,0,現金,XK36103283,,義大利經典堡6吋(1)|A套餐(1)
2026/01/04 12:54:02,413,0,信用卡,XK36103284,,香烤雞肉堡6吋(1)|蛋沙拉1球(1)|照燒雞肉堡6吋(1)|鮮嫩雞柳堡6吋(1)
2026/01/04 12:58:26,143,0,Line Pay,XK36103285,,蛋沙拉堡6吋(1)|培根1條(1)
2026/01/04 12:59:02,264,0,FoodPanda,XK36103286,,鮪魚堡6吋(1)|燒烤牛肉堡6吋(1)
2026/01/04 13:00:42,478,0,FoodPanda,XK36103287,,墨西哥辣椒起司厚牛(1)|墨西哥辣椒起司厚牛(1)
2026/01/04 13:08:11,228,0,現金,XK36103288,,火腿堡6吋(1)|D套餐(1)|酪梨泥一球(1)
2026/01/04 13:09:27,310,0,現金,XK36103289,,香烤雞肉堡6吋(1)|酪梨泥一球(2)|H套餐(1)
2026/01/04 13:10:43,572,0,現金,XK36103290,,厚切嫩牛堡6吋(1)|E套餐(1)|鮮嫩雞柳堡6吋(1)|C套餐(1)|奶油餅乾6片組(1)
2026/01/04 13:15:00,473,0,信用卡,XK36103291,,照燒雞肉堡12吋(1)|義大利經典堡12吋(1)
2026/01/04 13:20:30,429,0,現金,XK36103292,,厚切嫩牛堡12吋(1)|照燒雞肉堡6吋(1)|杯裝飲料(16oz)(1)
2026/01/04 13:23:50,302,0,信用卡,XK36103293,,鮮嫩雞柳堡6吋(1)|蛋沙拉1球(1)|G套餐(1)|餅乾3片(1)
2026/01/04 13:26:01,40,0,現金,XK36103294,,續杯(2)
2026/01/04 13:28:02,60,0,Line Pay,XK36103295,,餅乾3片(1)
2026/01/04 13:29:26,300,0,現金,XK36103296,,F套餐(1)|鮮嫩雞柳堡6吋(1)|鮮嫩雞柳雙份肉料(1)|嫩煎蛋一片(1)
2026/01/04 13:30:53,120,0,現金,XK36103297,,餅乾3片(2)
2026/01/04 13:35:00,160,0,現金,XK36103298,,午茶組限時優惠(1)
2026/01/04 13:37:25,192,0,Line Pay,XK36103299,,鷹嘴豆泥捲餅(1)|金選奶茶熱(1)|A套餐(1)
2026/01/04 13:43:30,125,0,現金,XK36103300,,香烤雞肉堡6吋(1)
2026/01/04 13:43:57,128,0,Line Pay,XK36103301,,照燒雞肉堡6吋(1)
2026/01/04 13:47:37,354,0,Line Pay,XK36103302,,義大利牛肉丸堡6吋(1)|墨西哥辣牛堡6吋(1)|C套餐(2)
2026/01/04 13:51:36,95,0,現金,XK36103303,,餅乾3片(1)|嫩煎蛋一片(1)
2026/01/04 13:55:38,355,0,現金,XK36103304,,百味俱樂部堡6吋(1)|厚切嫩牛堡6吋(1)|D套餐(1)
2026/01/04 14:01:36,170,0,信用卡,XK36103305,,香烤雞肉堡6吋(1)|酪梨泥一球(1)
2026/01/04 14:06:08,494,0,現金,XK36103306,,厚切嫩牛烤餅12吋(1)|厚切嫩牛雙份肉料(2)|A套餐(1)|A套餐(1)
2026/01/04 14:12:16,338,0,信用卡,XK36103307,,厚切嫩牛堡12吋(1)|嫩煎蛋一片(2)
2026/01/04 14:16:40,125,0,Line Pay,XK36103308,,嫩雞沙拉捲餅(1)|培根1條(1)
2026/01/04 14:19:26,149,0,現金,XK36103309,,厚切嫩牛堡6吋(1)
2026/01/04 14:32:04,318,0,Line Pay,XK36103310,,火腿烤餅6吋(1)|墨西哥辣牛堡6吋(1)|B套餐(1)|嫩煎蛋一片(1)
2026/01/04 14:36:07,173,0,現金,XK36103311,,香烤雞肉堡6吋(1)|A套餐(1)
2026/01/04 14:39:42,198,0,Line Pay,XK36103312,,午茶組限時優惠(1)|美式咖啡熱(1)
2026/01/04 14:41:14,263,0,Line Pay,XK36103313,,燒烤牛肉堡6吋(1)|燒烤牛肉雙份肉料(1)|蘑菇濃湯(1)
2026/01/04 14:57:43,339,0,Line Pay,XK36103314,,雙重起司厚牛12吋(1)|餅乾3片(1)
2026/01/04 15:00:43,110,0,現金,XK36103315,,嫩切雞肉堡6吋(1)
2026/01/04 15:05:41,205,0,信用卡,XK36103316,,鷹嘴豆泥餅堡6吋(1)|蛋沙拉1球(1)|酪梨泥一球(1)
2026/01/04 15:06:43,20,0,現金,XK36103317,,續杯(1)
2026/01/04 15:08:34,148,0,信用卡,XK36103318,,鷹嘴豆泥餅堡6吋(1)|三角切片起司一份(1)
2026/01/04 15:12:18,596,0,現金,XK36103319,,燒烤牛肉堡12吋(1)|厚切嫩牛堡12吋(1)|D套餐(1)
2026/01/04 15:19:05,230,0,信用卡,XK36103320,,百味俱樂部堡12吋(1)
2026/01/04 15:20:44,163,0,Line Pay,XK36103321,,鮮嫩雞柳堡6吋(1)|無糖紅茶冰(1)
2026/01/04 15:22:07,542,0,現金,XK36103322,,墨西哥辣牛堡6吋(1)|義大利牛肉丸堡6吋(1)|嫩切雞肉堡6吋(1)|C套餐(1)|F套餐(1)|A套餐(1)
2026/01/04 15:34:20,514,0,FoodPanda,XK36103323,,照燒雞肉(1)|嫩切雞肉(1)|加料(1)
2026/01/04 15:41:05,238,0,Line Pay,XK36103324,,香烤雞肉堡6吋(1)|蛋沙拉1球(1)|D套餐(1)
2026/01/04 15:50:55,139,0,現金,XK36103325,,燒烤牛肉堡6吋(1)
2026/01/04 15:52:13,346,0,信用卡,XK36103326,,厚切嫩牛堡12吋(1)|D套餐(1)
2026/01/04 16:02:17,127,0,現金,XK36103327,,鷹嘴豆泥捲餅(1)|杯裝飲料(16oz)(1)
2026/01/04 16:09:15,219,0,信用卡,XK36103328,,嫩煎蛋一片(1)|墨西哥辣牛堡6吋(1)|蘑菇濃湯(1)
2026/01/04 16:31:33,102,0,現金,XK36103329,,嫩雞沙拉捲餅(1)
2026/01/04 16:34:00,120,0,現金,XK36103330,,餅乾3片(2)
2026/01/04 16:35:07,882,0,Line Pay,XK36103331,,鮮嫩雞柳沙拉(1)|鮪魚堡6吋(1)|義大利經典堡6吋(1)|哈燒起司總匯堡6吋(1)|蛋沙拉1球(1)|D套餐(3)|A套餐(1)
2026/01/04 16:43:27,129,0,現金,XK36103332,,義大利牛肉丸堡6吋(1)
2026/01/04 16:59:51,162,0,Line Pay,XK36103333,,三角切片起司一份(1)|燒烤牛肉堡6吋(1)
2026/01/04 17:01:45,198,0,信用卡,XK36103334,,嫩切雞肉堡12吋(1)
2026/01/04 17:05:41,515,0,信用卡,XK36103335,,鮪魚堡12吋(1)|鮪魚堡6吋(1)|嫩切雞肉雙份肉料(3)
2026/01/04 17:21:18,344,0,Line Pay,XK36103336,,鮪魚堡6吋(1)|嫩煎蛋一片(1)|厚切嫩牛堡6吋(1)|蛋沙拉1球(1)
2026/01/04 17:28:43,457,0,現金,XK36103337,,義大利牛肉丸堡12吋(1)|鮪魚堡12吋(1)
2026/01/04 17:32:21,727,0,FoodPanda,XK36103338,,照燒雞肉(1)|酪梨香烤雞(1)|義大利經典(1)
2026/01/04 17:34:09,479,0,信用卡,XK36103339,,火腿堡12吋(1)|火腿堡6吋(1)|A套餐(1)|A套餐(1)|B套餐(1)
2026/01/04 17:47:05,400,0,現金,XK36103340,,鮮嫩雞柳堡12吋(1)|鮮嫩雞柳堡6吋(1)|美祿熱(1)
