時間,交易金額,折扣金額,種類,發票編號,客戶編號,品項
2026/02/01 08:02:46,208,0,信用卡,XK36106641,,起司蛋堡(4)
2026/02/01 08:09:44,447,0,悠遊卡,XK36106642,,厚切嫩牛堡12吋(1)|嫩切雞肉雙份肉料(2)|蘑菇濃湯(1)
2026/02/01 08:20:59,260,0,信用卡,XK36106643,,辣牛沙拉捲餅(1)|薯餅(1)|D套餐(1)|拿鐵冰(1)
2026/02/01 08:24:02,82,0,信用卡,XK36106644,,厚切牛起司蛋堡(1)
2026/02/01 08:26:39,87,0,現金,XK36106645,,起司蛋堡(1)|嫩煎蛋一片(1)
2026/02/01 08:27:32,238,0,UberEats,XK36106646,,6吋鮮嫩雞柳潛艇堡 6-Inch Chicken Strips Sub(1)
2026/02/01 08:32:48,164,0,現金,XK36106647,,厚切牛起司蛋堡(2)
2026/02/01 08:34:14,225,0,現金,XK36106648,,照燒雞肉沙拉(1)|照燒雞肉雙份肉料(1)
2026/02/01 08:41:13,183,0,信用卡,XK36106649,,嫩切雞肉堡6吋(1)|嫩煎蛋一片(1)|美式咖啡熱(1)
2026/02/01 08:59:30,300,0,現金,XK36106652,,鮮嫩雞柳堡6吋(1)|墨西哥辣牛堡6吋(1)|餅乾3片(1)
2026/02/01 08:53:21,181,0,現金,XK36106650,,百味俱樂部堡6吋(1)|A套餐(1)
2026/02/01 08:54:53,82,0,現金,XK36106651,,厚切牛起司蛋堡(1)
2026/02/01 09:18:23,259,0,現金,XK36106653,,蘑菇濃湯(1)|義大利經典堡6吋(1)|義大利經典雙份肉料(1)
2026/02/01 09:19:28,33,0,信用卡,XK36106654,,美式咖啡熱(1)
2026/02/01 09:23:01,144,0,現金,XK36106655,,培根起司蛋堡(2)
2026/02/01 09:25:42,201,0,現金,XK36106656,,起司蛋堡(1)|厚切嫩牛堡6吋(1)
2026/02/01 09:27:23,125,0,信用卡,XK36106657,,鮮嫩雞柳堡6吋(1)
2026/02/01 09:32:12,103,0,信用卡,XK36106658,,套餐厚牛起司蛋(1)
2026/02/01 09:33:46,78,0,現金,XK36106659,,套餐起司蛋(1)
2026/02/01 09:43:03,52,0,現金,XK36106660,,起司蛋堡(1)
2026/02/01 09:50:47,33,0,現金,XK36106661,,美式咖啡熱(1)
2026/02/01 10:05:59,216,0,現金,XK36106662,,厚切牛起司蛋堡(2)|起司蛋堡(1)
2026/02/01 10:19:08,83,0,悠遊卡,XK36106663,,套餐火腿起司蛋(1)
2026/02/01 10:30:53,306,0,Line Pay,XK36106664,,套餐厚牛起司蛋(1)|套餐厚牛起司蛋(1)|酪梨泥一球(2)
2026/02/01 10:39:45,479,0,UberEats,XK36106665,,6吋百味俱樂部潛艇堡 6-Inch Subway ClubTM Sub(1)|6吋義大利牛肉丸潛艇堡 6-Inch Roast Beef Sub(1)
2026/02/01 10:42:34,87,0,現金,XK36106666,,起司蛋堡(1)|蛋沙拉1球(1)
2026/02/01 10:55:29,98,0,現金,XK36106667,,套餐培根起司蛋(1)
2026/02/01 10:57:34,237,0,信用卡,XK36106668,,厚切嫩牛堡6吋(1)|套餐火腿起司蛋(1)
2026/02/01 11:00:19,507,0,信用卡,XK36106669,,墨西哥辣牛堡6吋(1)|酪梨泥一球(1)|厚切牛起司蛋堡(1)|嫩雞沙拉捲餅(1)|F套餐(1)|D套餐(1)
2026/02/01 11:15:36,110,0,信用卡,XK36106670,,嫩切雞肉堡6吋(1)
2026/02/01 11:17:10,368,0,現金,XK36106671,,鮪魚堡6吋(1)|火腿堡6吋(1)|F套餐(1)|A套餐(1)
2026/02/01 11:43:48,244,0,FoodPanda,XK36106672,,照燒雞肉(1)|加料(1)
2026/02/01 11:44:18,206,0,UberEats,XK36106673,,6吋香烤雞肉潛艇堡 6-Inch Roasted Chicken Breast Sub(1)
2026/02/01 11:50:08,225,0,信用卡,XK36106674,,香烤雞肉堡12吋(1)
2026/02/01 11:54:40,125,0,Line Pay,XK36106675,,香烤雞肉堡6吋(1)
2026/02/01 11:59:27,470,0,UberEats,XK36106676,,6吋鮮嫩雞柳潛艇堡 6-Inch Chicken Strips Sub(1)|6吋墨西哥辣牛潛艇堡 6-Inch Taco Beef Sub(1)
2026/02/01 12:02:14,401,0,UberEats,XK36106677,,6吋墨西哥辣牛潛艇堡 6-Inch Taco Beef Sub(1)|6吋鮮嫩雞柳潛艇堡 6-Inch Chicken Strips Sub(1)
2026/02/01 12:06:10,438,0,Line Pay,XK36106678,,厚切嫩牛堡6吋(1)|鮮嫩雞柳沙拉(1)|A套餐(1)|E套餐(1)
2026/02/01 12:10:56,191,0,現金,XK36106679,,墨西哥辣牛堡6吋(1)|培根1條(1)|A套餐(1)
2026/02/01 12:14:00,574,0,信用卡,XK36106680,,厚切嫩牛堡12吋(1)|蛋沙拉1球(1)|酪梨泥一球(1)|杯裝飲料(16oz)(2)|橙皮/奶油餅乾6片組(1)
2026/02/01 12:18:10,189,0,信用卡,XK36106681,,義大利牛肉丸堡6吋(1)|餅乾3片(1)
2026/02/01 12:43:49,170,0,信用卡,XK36106692,,照燒雞肉沙拉(1)
2026/02/01 12:19:59,278,0,現金,XK36106682,,鮪魚堡6吋(1)|蛋沙拉堡6吋(1)|杯裝飲料(16oz)(1)
2026/02/01 12:21:38,255,0,現金,XK36106683,,百味俱樂部堡12吋(1)|餅乾1片(1)
2026/02/01 12:22:40,445,0,UberEats,XK36106684,,6吋鮪魚潛艇堡 6-Inch Tuna Sub(1)|雙重起司厚牛 (墨西哥辣椒起司醬) 套餐(1)
2026/02/01 12:23:00,318,0,信用卡,XK36106685,,燒烤牛肉堡6吋(1)|燒烤牛肉雙份肉料(1)|培根1條(1)|培根1條(1)|D套餐(1)
2026/02/01 12:24:30,155,0,信用卡,XK36106686,,雙重起司厚牛6吋(1)
2026/02/01 12:26:54,197,0,現金,XK36106687,,厚切嫩牛堡6吋(1)|A套餐(1)
2026/02/01 12:28:30,422,0,FoodPanda,XK36106688,,鮮嫩雞柳(1)|墨西哥辣牛沙拉(1)
2026/02/01 12:31:02,485,0,Line Pay,XK36106689,,香烤雞肉堡6吋(1)|鮮嫩雞柳堡6吋(1)|燒烤牛肉堡6吋(1)|A套餐(1)|A套餐(1)
2026/02/01 12:32:55,204,0,現金,XK36106690,,厚切嫩牛堡6吋(1)|厚切嫩牛雙份肉料(1)
2026/02/01 12:34:19,125,0,Line Pay,XK36106691,,鮪魚堡6吋(1)
2026/02/01 12:44:16,225,0,UberEats,XK36106693,,6吋墨西哥辣牛潛艇堡 6-Inch Taco Beef Sub(1)
2026/02/01 12:45:50,225,0,信用卡,XK36106694,,鮮嫩雞柳堡12吋(1)
2026/02/01 12:51:46,163,0,Line Pay,XK36106695,,鮪魚堡6吋(1)|原萃(口味隨機)(1)
2026/02/01 12:56:25,401,0,FoodPanda,XK36106696,,墨西哥辣牛(1)|香烤雞肉(1)
2026/02/01 12:58:52,227,0,現金,XK36106697,,厚切嫩牛堡6吋(1)|E套餐(1)
2026/02/01 12:59:58,203,0,現金,XK36106698,,E套餐(1)|嫩雞沙拉捲餅(1)|培根1條(1)
2026/02/01 13:04:47,105,0,現金,XK36106699,,火腿堡6吋(1)
2026/02/01 13:05:44,85,0,現金,XK36106700,,餅乾3片(1)|餅乾1片(1)
2026/02/01 13:08:48,210,0,現金,XK36106701,,餅乾3片(1)|餅乾3片(1)|橙皮可可餅乾(3)
2026/02/01 13:09:22,211,0,UberEats,XK36106702,,6吋照燒雞肉潛艇堡 6-Inch Chicken Teriyaki Sub(1)
2026/02/01 13:09:39,323,0,Line Pay,XK36106703,,鮪魚堡6吋(1)|蛋沙拉1球(1)|照燒雞肉堡6吋(1)|嫩煎蛋一片(1)
2026/02/01 13:11:01,403,0,Line Pay,XK36106704,,鮪魚堡6吋(1)|鷹嘴豆泥捲餅(2)|酪梨泥一球(2)
2026/02/01 13:14:59,128,0,現金,XK36106705,,照燒雞肉堡6吋(1)
2026/02/01 13:16:08,738,0,Line Pay,XK36106706,,厚切嫩牛堡12吋(1)|厚切嫩牛雙份肉料(2)|燒烤牛肉堡12吋(1)|燒烤牛肉雙份肉料(2)
2026/02/01 13:21:45,279,0,信用卡,XK36106707,,雙重起司厚牛12吋(1)
2026/02/01 13:39:15,274,0,現金,XK36106708,,鮮嫩雞柳堡6吋(1)|酪梨泥一球(1)|嫩煎蛋一片(1)|蘑菇濃湯(1)
2026/02/01 13:43:05,206,0,FoodPanda,XK36106709,,香烤雞肉(1)
2026/02/01 13:48:28,184,0,FoodPanda,XK36106710,,火腿(1)
2026/02/01 13:55:14,25,0,現金,XK36106711,,餅乾1片(1)
2026/02/01 13:55:43,247,0,現金,XK36106712,,香烤雞肉堡6吋(1)|A套餐(1)|蘑菇濃湯(1)
2026/02/01 13:58:02,170,0,Line Pay,XK36106713,,香烤雞肉堡6吋(1)|酪梨泥一球(1)
2026/02/01 14:06:44,278,0,信用卡,XK36106714,,義大利經典堡12吋(1)|蛋沙拉1球(1)
2026/02/01 14:08:33,147,0,現金,XK36106715,,辣牛沙拉捲餅(1)|酪梨泥一球(1)
2026/02/01 14:11:14,315,0,現金,XK36106716,,鮮嫩雞柳堡12吋(1)|酪梨泥一球(2)
2026/02/01 14:13:33,315,0,信用卡,XK36106717,,鮮嫩雞柳堡12吋(1)|酪梨泥一球(2)
2026/02/01 14:35:53,89,0,Line Pay,XK36106718,,素食蔬菜堡6吋(1)
2026/02/01 14:38:05,315,0,信用卡,XK36106719,,H套餐(1)|雙重起司厚牛雙份肉料(1)|雙重起司厚牛6吋烤餅(1)
2026/02/01 14:40:22,265,0,信用卡,XK36106720,,鮪魚沙拉(1)|辣牛沙拉捲餅(1)
2026/02/01 14:46:33,129,0,信用卡,XK36106721,,義大利牛肉丸堡6吋(1)
2026/02/01 14:59:04,175,0,現金,XK36106722,,嫩切雞肉堡6吋(1)|B套餐(1)
2026/02/01 15:20:46,244,0,UberEats,XK36106723,,6吋照燒雞肉潛艇堡 6-Inch Chicken Teriyaki Sub(1)
2026/02/01 15:22:44,228,0,現金,XK36106724,,哈燒起司總匯堡6吋(1)|哈燒起司總匯雙份肉料(1)|A套餐(1)
2026/02/01 15:29:35,198,0,Line Pay,XK36106725,,嫩切雞肉堡12吋(1)
2026/02/01 15:32:06,449,0,Line Pay,XK36106726,,雙重起司厚牛12吋(1)|雙重起司厚牛雙份肉料(2)|餅乾3片(1)
2026/02/01 15:35:06,0,928,,00000000,2101130002員工餐0元,厚切嫩牛堡6吋(1)|厚切嫩牛雙份肉料(1)|三角切片起司一份(1)|A套餐(1)|橙皮可可餅乾(1)|嫩雞沙拉捲餅(1)|嫩煎蛋一片(1)|鮮嫩雞柳堡6吋(1)|嫩煎蛋一片(1)|培根1條(1)|照燒雞肉堡6吋(1)|嫩煎蛋一片(1)|培根1條(1)|拿鐵熱(2)
2026/02/01 15:51:47,0,921,,00000000,2101130002員工餐0元,多力多滋玉米片碗(1)|厚切嫩牛烤餅6吋(1)|鮮嫩雞柳烤餅6吋(1)|燒烤牛肉堡6吋(1)|嫩煎蛋一片(1)|嫩煎蛋一片(4)|燒烤牛肉雙份肉料(1)|厚切嫩牛堡6吋(1)
2026/02/01 15:56:58,223,0,信用卡,XK36106727,,照燒雞肉堡6吋(1)|蛋沙拉1球(1)|餅乾3片(1)
2026/02/01 15:59:55,305,0,現金,XK36106728,,哈燒起司總匯堡6吋(1)|哈燒起司總匯雙份肉料(1)|香烤雞肉堡6吋(1)
2026/02/01 16:10:17,88,0,信用卡,XK36106729,,拿鐵熱(1)|美式咖啡熱(1)
2026/02/01 16:26:59,135,0,Line Pay,XK36106730,,香烤雞肉烤餅6吋(1)
2026/02/01 16:25:50,-88,0,信用卡,XK36106729,,拿鐵熱(-1)|美式咖啡熱(-1)
2026/02/01 16:31:56,180,0,現金,XK36106731,,鮮嫩雞柳堡6吋(1)|鮮嫩雞柳雙份肉料(1)
2026/02/01 16:34:52,207,0,現金,XK36106732,,墨西哥辣牛堡12吋(1)
2026/02/01 16:50:38,521,0,現金,XK36106733,,香烤雞肉堡12吋(1)|嫩煎蛋一片(1)|嫩煎蛋一片(1)|蛋沙拉1球(1)|蛋沙拉1球(1)|D套餐(1)|D套餐(1)
2026/02/01 16:55:34,340,0,現金,XK36106734,,百味俱樂部堡12吋(1)|F套餐(1)|餅乾1片(1)
2026/02/01 17:13:15,408,0,UberEats,XK36106735,,6吋嫩切雞肉潛艇堡 6-Inch Sliced Chicken Sub(1)|6吋嫩切雞肉潛艇堡 6-Inch Sliced Chicken Sub(1)
2026/02/01 17:20:46,321,0,現金,XK36106736,,義大利經典堡12吋(1)|D套餐(1)
2026/02/01 17:25:35,289,0,UberEats,XK36106737,,6吋照燒雞肉潛艇堡 6-Inch Chicken Teriyaki Sub(1)
2026/02/01 17:27:04,139,0,Line Pay,XK36106738,,燒烤牛肉堡6吋(1)
