時間,交易金額,折扣金額,種類,發票編號,客戶編號,品項
2025/12/09 08:05:31,52,0,現金,VM14255107,,起司蛋堡(1)
2025/12/09 08:06:13,88,0,現金,VM14255108,,套餐火腿起司蛋(1)
2025/12/09 08:16:44,52,0,Line Pay,VM14255109,,起司蛋堡(1)
2025/12/09 08:20:01,259,0,信用卡,VM14255110,,燒烤牛肉雙份肉料(1)|燒烤牛肉烤餅6吋(1)|C套餐(1)
2025/12/09 08:29:10,52,0,信用卡,VM14255111,,起司蛋堡(1)
2025/12/09 08:39:00,0,25,,00000000,2101130002員工餐0元,餅乾1片(1)
2025/12/09 08:41:33,418,0,Line Pay,VM14255112,,照燒雞肉堡12吋(1)|照燒雞肉堡6吋(1)|餅乾3片(1)
2025/12/09 08:47:35,219,0,FoodPanda,VM14255113,,火腿(1)|加料(1)
2025/12/09 08:47:59,184,0,現金,VM14255114,,厚切嫩牛堡6吋(1)|蛋沙拉1球(1)
2025/12/09 09:24:59,60,0,現金,VM14255115,,餅乾3片(1)
2025/12/09 09:28:23,100,0,現金,VM14255116,,套餐火腿起司蛋(1)
2025/12/09 09:31:55,108,0,Line Pay,VM14255117,,套餐厚牛起司蛋(1)
2025/12/09 09:45:23,78,0,現金,VM14255118,,套餐起司蛋(1)
2025/12/09 09:56:08,264,0,信用卡,VM14255119,,辣豆瓣嫩牛6吋(1)|蛋沙拉1球(1)|酪梨泥一球(1)|餅乾1片(1)
2025/12/09 09:59:53,180,0,現金,VM14255120,,義大利經典堡6吋(1)|酪梨泥一球(1)
2025/12/09 10:02:54,108,0,現金,VM14255121,,套餐厚牛起司蛋(1)
2025/12/09 10:04:42,240,0,UberEats,VM14255122,,6吋義大利牛肉丸潛艇堡 6-Inch Roast Beef Sub(1)
2025/12/09 10:21:15,82,0,Line Pay,VM14255123,,厚切牛起司蛋堡(1)
2025/12/09 10:42:46,127,0,Line Pay,VM14255124,,酪梨泥一球(1)|厚切牛起司蛋堡(1)
2025/12/09 11:15:37,715,0,Line Pay,VM14255128,,鮮嫩雞柳沙拉(1)|燒烤牛肉堡6吋(1)|鮮嫩雞柳堡6吋(1)|墨西哥辣牛堡6吋(1)|哈燒起司總匯堡6吋(1)|A套餐(1)
2025/12/09 11:05:28,195,0,信用卡,VM14255125,,義大利經典堡6吋(1)|餅乾3片(1)
2025/12/09 11:08:07,139,0,現金,VM14255126,,燒烤牛肉堡6吋(1)
2025/12/09 11:12:13,633,0,FoodPanda,VM14255127,,嫩雞雙饗(1)|雙重起司厚牛(1)|外送單點(1)|加料(1)
2025/12/09 11:23:30,353,0,Line Pay,VM14255129,,義大利牛肉丸堡6吋(1)|照燒雞肉堡6吋(1)|A套餐(1)|A套餐(1)
2025/12/09 11:29:28,110,0,Line Pay,VM14255130,,嫩切雞肉堡6吋(1)
2025/12/09 11:30:11,211,0,UberEats,VM14255131,,6吋照燒雞肉潛艇堡 6-Inch Chicken Teriyaki Sub(1)
2025/12/09 11:34:14,274,0,現金,VM14255132,,鮮嫩雞柳堡6吋(1)|厚切嫩牛堡6吋(1)
