時間,交易金額,折扣金額,種類,發票編號,客戶編號,品項
2026/01/06 08:23:53,153,0,信用卡,XK36103487,,墨西哥辣牛堡6吋(1)|美式咖啡熱(1)
2026/01/06 08:37:30,523,0,現金,XK36103488,,雙重起司厚牛12吋(1)|厚切嫩牛堡6吋(1)|蛋沙拉1球(1)|C套餐(1)
2026/01/06 08:43:10,170,0,現金,XK36103489,,照燒雞肉沙拉(1)
2026/01/06 08:50:53,181,0,現金,XK36103490,,百味俱樂部堡6吋(1)|A套餐(1)
2026/01/06 09:01:59,639,0,現金,XK36103491,,蛋沙拉1球(2)|蛋沙拉堡12吋(1)|義大利經典堡12吋(1)|義大利經典雙份肉料(2)
2026/01/06 09:10:47,210,0,現金,XK36103492,,香烤雞肉堡6吋(1)|F套餐(1)
2026/01/06 09:12:50,274,0,現金,XK36103493,,厚切嫩牛烤餅6吋(1)|厚切嫩牛雙份肉料(1)|C套餐(1)
2026/01/06 09:16:27,155,0,現金,XK36103494,,雙重起司厚牛6吋(1)
2026/01/06 09:33:54,184,0,現金,XK36103495,,厚切嫩牛堡6吋(1)|嫩煎蛋一片(1)
2026/01/06 09:35:13,82,0,Line Pay,XK36103496,,厚切牛起司蛋堡(1)
2026/01/06 10:15:00,164,0,信用卡,XK36103497,,素食蔬菜堡12吋(1)
2026/01/06 10:41:31,160,0,信用卡,XK36103498,,鮪魚堡6吋(1)|蛋沙拉1球(1)
2026/01/06 11:13:01,155,0,Line Pay,XK36103499,,雙重起司厚牛6吋(1)
2026/01/06 11:42:03,412,0,FoodPanda,XK36103500,,鮪魚(1)|鮪魚(1)
2026/01/06 11:44:09,354,0,信用卡,XK36103501,,嫩切雞肉堡12吋(1)|D套餐(2)
2026/01/06 11:52:10,197,0,信用卡,XK36103502,,鮮嫩雞柳堡6吋(1)|C套餐(1)
2026/01/06 11:54:22,375,0,現金,XK36103503,,燒烤牛肉堡12吋(1)|墨西哥辣牛烤餅6吋(1)
2026/01/06 11:56:30,262,0,現金,XK36103504,,厚切嫩牛堡6吋(1)|蛋沙拉1球(1)|D套餐(1)
2026/01/06 12:02:19,283,0,FoodPanda,XK36103505,,墨西哥辣椒起司厚牛(1)
2026/01/06 12:12:38,110,0,Line Pay,XK36103506,,嫩切雞肉堡6吋(1)
