時間,交易金額,折扣金額,種類,發票編號,客戶編號,品項
2026/01/20 08:39:01,52,0,Line Pay,XK36105247,,起司蛋堡(1)
2026/01/20 08:49:47,386,0,現金,XK36105248,,厚切嫩牛堡12吋(1)|套餐厚牛起司蛋(1)
2026/01/20 09:17:18,165,0,現金,XK36105249,,嫩切雞肉堡6吋(1)|嫩切雞肉雙份肉料(1)
2026/01/20 09:20:02,183,0,信用卡,XK36105250,,嫩切雞肉堡6吋(1)|嫩煎蛋一片(1)|美式咖啡熱(1)
2026/01/20 09:33:27,362,0,現金,XK36105251,,火腿堡6吋(1)|酪梨泥一球(1)|蛋沙拉1球(1)|燒烤牛肉堡6吋(1)|無糖紅茶熱(1)
2026/01/20 10:20:29,191,0,現金,XK36105252,,套餐起司蛋(1)|套餐起司蛋(1)|蛋沙拉1球(1)
2026/01/20 10:26:52,260,0,信用卡,XK36105253,,香烤雞肉堡6吋(1)|香烤雞肉雙份肉料(1)|嫩煎蛋一片(1)|酪梨泥一球(1)
2026/01/20 10:46:25,385,0,現金,XK36105256,,百味俱樂部堡12吋(1)|雙重起司厚牛6吋(1)
2026/01/20 10:34:54,194,0,現金,XK36105254,,厚切嫩牛堡6吋(1)|酪梨泥一球(1)
2026/01/20 10:39:12,242,0,現金,XK36105255,,燒烤牛肉堡6吋(1)|燒烤牛肉雙份肉料(1)|A套餐(1)
2026/01/20 10:47:00,320,0,Line Pay,XK36105257,,燒烤牛肉堡12吋(1)|嫩煎蛋一片(2)
2026/01/20 10:52:59,52,0,信用卡,XK36105258,,起司蛋堡(1)
2026/01/20 11:03:51,225,0,UberEats,XK36105259,,6吋墨西哥辣牛潛艇堡 6-Inch Taco Beef Sub(1)|單點現烤餅乾一片 Cookie1 pc(1)
2026/01/20 11:18:01,159,0,現金,XK36105260,,厚切嫩牛烤餅6吋(1)
2026/01/20 11:20:16,125,0,現金,XK36105261,,鮮嫩雞柳堡6吋(1)
2026/01/20 11:27:11,225,0,Line Pay,XK36105262,,香烤雞肉堡12吋(1)
2026/01/20 11:28:14,160,0,Line Pay,XK36105263,,香烤雞肉堡6吋(1)|嫩煎蛋一片(1)
2026/01/20 11:34:26,326,0,Line Pay,XK36105264,,燒烤牛肉堡12吋(1)|美式咖啡熱(2)
2026/01/20 11:38:41,880,0,UberEats,XK36105265,,6吋嫩切雞肉潛艇堡 6-Inch Sliced Chicken Sub(1)|6吋百味俱樂部潛艇堡 6-Inch Subway ClubTM Sub(1)|6吋鮪魚潛艇堡 6-Inch Tuna Sub(1)|6吋鮮嫩雞柳潛艇堡 6-Inch Chicken Strips Sub(1)
