時間,交易金額,折扣金額,種類,發票編號,客戶編號,品項
2026/01/12 08:23:56,364,0,Line Pay,XK36104134,,蛋沙拉沙拉(1)|燒烤牛肉堡6吋(1)|餅乾3片(1)
2026/01/12 08:37:22,181,0,現金,XK36104137,,百味俱樂部堡6吋(1)|A套餐(1)
2026/01/12 08:32:01,209,0,現金,XK36104135,,素食蔬菜烤餅6吋(1)|蛋沙拉1球(1)|酪梨泥一球(1)|588ml鹼性離子水(1)
2026/01/12 08:34:59,249,0,UberEats,XK36104136,,6吋嫩切雞肉潛艇堡 6-Inch Sliced Chicken Sub(1)
2026/01/12 08:44:23,368,0,UberEats,XK36104138,,6吋墨西哥辣牛潛艇堡 6-Inch Taco Beef Sub(1)|NachoBowl玉米片碗(1)|單點現烤餅乾一片 Cookie1 pc(1)
2026/01/12 08:53:14,324,0,現金,XK36104139,,照燒雞肉堡12吋(1)|A套餐(1)|三角切片起司一份(2)
2026/01/12 08:58:38,207,0,Line Pay,XK36104140,,義大利牛肉丸堡6吋(1)|D套餐(1)
2026/01/12 09:22:16,160,0,信用卡,XK36104141,,鮪魚堡6吋(1)|蛋沙拉1球(1)
2026/01/12 09:54:00,78,0,現金,XK36104142,,套餐起司蛋(1)
2026/01/12 10:02:28,275,0,Line Pay,XK36104143,,套餐厚牛起司蛋(1)|嫩切雞肉堡6吋(1)|酪梨泥一球(1)
2026/01/12 10:06:27,153,0,現金,XK36104144,,墨西哥辣牛堡6吋(1)|杯裝飲料(22oz)(1)
2026/01/12 10:14:23,107,0,現金,XK36104145,,起司蛋堡(1)|C套餐(1)
2026/01/12 10:16:47,150,0,現金,XK36104146,,火腿堡6吋(1)|酪梨泥一球(1)
2026/01/12 10:21:18,163,0,現金,XK36104147,,嫩切雞肉堡6吋(1)|A套餐(1)
2026/01/12 10:35:16,105,0,現金,XK36104148,,火腿堡6吋(1)
2026/01/12 10:35:54,82,0,現金,XK36104149,,厚切牛起司蛋堡(1)
2026/01/12 10:37:20,184,0,信用卡,XK36104150,,義大利牛肉丸堡6吋(1)|C套餐(1)
2026/01/12 10:46:21,110,0,信用卡,XK36104151,,嫩切雞肉堡6吋(1)
2026/01/12 10:51:47,531,0,現金,XK36104152,,香烤雞肉堡6吋(1)|百味俱樂部堡6吋(1)|蛋沙拉1球(2)|嫩煎蛋一片(2)|蘑菇濃湯(2)
2026/01/12 10:59:23,205,0,現金,XK36104153,,鮮嫩雞柳堡6吋(1)|嫩煎蛋一片(1)|酪梨泥一球(1)
2026/01/12 11:01:40,153,0,信用卡,XK36104154,,百味俱樂部堡6吋(1)|餅乾1片(1)
2026/01/12 11:48:08,814,0,現金,XK36104162,,辣牛沙拉捲餅(3)|嫩切雞肉堡6吋(3)|素食蔬菜堡6吋(2)
2026/01/12 11:19:24,239,0,UberEats,XK36104155,,雙重起司厚牛 (墨西哥辣椒起司醬) 套餐(1)
2026/01/12 11:20:28,210,0,FoodPanda,XK36104156,,義大利牛肉丸(1)
2026/01/12 11:28:26,320,0,Line Pay,XK36104157,,蛋沙拉堡6吋(1)|酪梨泥一球(1)|香烤雞肉堡6吋(1)|奶油餅乾(1)
2026/01/12 11:37:55,129,0,信用卡,XK36104158,,義大利牛肉丸堡6吋(1)
2026/01/12 11:40:07,150,0,現金,XK36104159,,鮪魚堡6吋(1)|餅乾1片(1)
2026/01/12 11:41:56,255,0,Line Pay,XK36104160,,鮪魚堡6吋(1)|酪梨泥一球(1)|F套餐(1)
2026/01/12 11:46:35,110,0,信用卡,XK36104161,,嫩切雞肉堡6吋(1)
2026/01/12 11:50:27,212,0,信用卡,XK36104163,,素食蔬菜堡12吋(1)|B套餐(1)
2026/01/12 12:00:58,206,0,FoodPanda,XK36104164,,鮪魚(1)
2026/01/12 12:09:37,284,0,現金,XK36104165,,蘑菇濃湯(1)|火腿堡6吋(1)|嫩切雞肉堡6吋(1)
2026/01/12 12:13:25,110,0,Line Pay,XK36104166,,嫩切雞肉堡6吋(1)
2026/01/12 12:15:23,110,0,現金,XK36104167,,嫩切雞肉堡6吋(1)
2026/01/12 12:20:33,160,0,信用卡,XK36104168,,鮮嫩雞柳堡6吋(1)|蛋沙拉1球(1)
2026/01/12 12:23:01,194,0,現金,XK36104169,,素食蔬菜堡6吋(1)|酪梨泥一球(1)|C套餐(1)
2026/01/12 12:30:02,265,0,現金,XK36104170,,義大利牛肉丸堡12吋(1)|杯裝飲料(16oz)(1)
2026/01/12 12:31:07,410,0,現金,XK36104171,,嫩切雞肉堡12吋(1)|火腿雙份肉料(1)|火腿雙份肉料(1)|杯裝飲料(16oz)(1)|蘑菇濃湯(1)
2026/01/12 12:36:01,160,0,信用卡,XK36104172,,鮮嫩雞柳烤餅6吋(1)|餅乾1片(1)
2026/01/12 12:37:50,159,0,現金,XK36104173,,辣豆瓣嫩牛6吋(1)
2026/01/12 12:39:28,160,0,現金,XK36104174,,香烤雞肉堡6吋(1)|嫩煎蛋一片(1)
2026/01/12 12:49:59,170,0,信用卡,XK36104175,,火腿堡6吋(1)|G套餐(1)
2026/01/12 13:01:25,125,0,現金,XK36104176,,香烤雞肉堡6吋(1)
2026/01/12 13:06:49,260,0,Line Pay,XK36104177,,香烤雞肉堡6吋(1)|嫩煎蛋一片(1)|酪梨泥一球(1)|C套餐(1)
2026/01/12 13:13:30,219,0,UberEats,XK36104178,,6吋嫩切雞肉潛艇堡 6-Inch Sliced Chicken Sub(1)
2026/01/12 13:23:52,378,0,Line Pay,XK36104179,,火腿堡12吋(2)
2026/01/12 13:24:36,157,0,現金,XK36104180,,嫩雞沙拉捲餅(1)|餅乾1片(1)|奶油餅乾(1)
2026/01/12 13:38:51,265,0,現金,XK36104181,,哈燒起司總匯堡6吋(1)|H套餐(1)|蜜桃果茶(1)
2026/01/12 13:41:05,163,0,Line Pay,XK36104182,,香烤雞肉堡6吋(1)|美式咖啡熱(1)
2026/01/12 13:51:57,180,0,Line Pay,XK36104183,,雙重起司厚牛6吋(1)|餅乾1片(1)
2026/01/12 13:56:31,268,0,Line Pay,XK36104184,,厚切嫩牛堡12吋(1)
2026/01/12 14:21:00,238,0,現金,XK36104185,,照燒雞肉堡6吋(1)|B套餐(1)|美祿熱(1)
2026/01/12 14:41:41,195,0,信用卡,XK36104186,,香烤雞肉堡6吋(1)|蛋沙拉1球(2)
2026/01/12 15:00:29,399,0,Line Pay,XK36104187,,義大利牛肉丸堡6吋(1)|A套餐(1)|燒烤牛肉堡6吋(1)|D套餐(1)
2026/01/12 15:04:36,222,0,現金,XK36104188,,厚切嫩牛堡6吋(1)|蛋沙拉1球(1)|美式咖啡熱(1)
2026/01/12 15:28:18,225,0,信用卡,XK36104189,,香烤雞肉堡12吋(1)
2026/01/12 15:30:43,225,0,信用卡,XK36104190,,鮮嫩雞柳堡12吋(1)
2026/01/12 15:32:40,290,0,現金,XK36104191,,鮮嫩雞柳堡12吋(1)|A套餐(1)
2026/01/12 15:37:14,320,0,信用卡,XK36104192,,鮮嫩雞柳堡12吋(1)|H套餐(1)
2026/01/12 15:42:05,188,0,現金,XK36104193,,厚切嫩牛沙拉(1)
2026/01/12 15:44:38,155,0,現金,XK36104194,,嫩切雞肉堡6吋(1)|酪梨泥一球(1)
2026/01/12 15:51:27,204,0,Line Pay,XK36104195,,嫩雞沙拉捲餅(2)
2026/01/12 16:15:53,145,0,現金,XK36104196,,蛋沙拉堡6吋(1)|餅乾1片(1)
2026/01/12 16:22:15,135,0,現金,XK36104197,,義大利經典堡6吋(1)
2026/01/12 16:23:04,493,0,現金,XK36104198,,照燒雞肉堡6吋(1)|鮪魚堡6吋(1)|酪梨泥一球(2)|C套餐(1)|H套餐(1)
2026/01/12 16:38:17,165,0,Line Pay,XK36104199,,嫩切雞肉堡6吋(1)|3塊鷹嘴豆泥餅(1)
2026/01/12 16:39:30,55,0,Line Pay,XK36104200,,嫩切雞肉雙份肉料(1)
2026/01/12 16:52:17,217,0,現金,XK36104201,,燒烤牛肉堡6吋(1)|D套餐(1)
2026/01/12 16:55:25,163,0,現金,XK36104202,,鮮嫩雞柳沙拉(1)
2026/01/12 16:59:43,320,0,現金,XK36104203,,鮮嫩雞柳堡6吋(1)|嫩煎蛋一片(2)|香烤雞肉堡6吋(1)
2026/01/12 17:01:44,205,0,Line Pay,XK36104204,,嫩切雞肉堡6吋(1)|嫩煎蛋一片(1)|C套餐(1)
2026/01/12 17:03:04,230,0,Line Pay,XK36104205,,嫩切雞肉堡6吋(1)|嫩煎蛋一片(1)|F套餐(1)
2026/01/12 17:06:38,173,0,現金,XK36104206,,A套餐(1)|鮮嫩雞柳堡6吋(1)
2026/01/12 17:09:32,216,0,信用卡,XK36104207,,蛋沙拉堡12吋(1)
2026/01/12 17:19:21,428,0,現金,XK36104208,,厚切嫩牛堡12吋(1)|酪梨泥一球(2)|蛋沙拉1球(2)
2026/01/12 17:22:54,163,0,信用卡,XK36104209,,墨西哥辣牛堡6吋(1)|A套餐(1)
2026/01/12 17:28:23,236,0,UberEats,XK36104210,,6吋鮪魚潛艇堡 6-Inch Tuna Sub(1)
2026/01/12 17:33:14,244,0,UberEats,XK36104211,,6吋百味俱樂部潛艇堡 6-Inch Subway ClubTM Sub(1)
2026/01/12 17:33:37,208,0,信用卡,XK36104212,,香烤雞肉堡6吋(1)|切絲巧達起司一份(1)|A套餐(1)
2026/01/12 17:38:40,838,0,現金,XK36104213,,照燒雞肉堡12吋(1)|燒烤牛肉堡6吋(1)|鮪魚堡6吋(1)|雙重起司厚牛12吋(1)|A套餐(1)
2026/01/12 17:46:06,128,0,現金,XK36104214,,照燒雞肉堡6吋(1)
2026/01/12 17:47:12,110,0,現金,XK36104215,,嫩切雞肉堡6吋(1)
2026/01/12 17:48:04,170,0,Line Pay,XK36104216,,火腿堡6吋(1)|B套餐(1)
2026/01/12 17:49:00,139,0,信用卡,XK36104217,,燒烤牛肉堡6吋(1)
2026/01/12 17:49:36,423,0,信用卡,XK36104218,,嫩切雞肉堡12吋(1)|香烤雞肉堡12吋(1)
2026/01/12 17:50:53,225,0,信用卡,XK36104219,,香烤雞肉堡12吋(1)
2026/01/12 17:52:12,170,0,信用卡,XK36104220,,照燒雞肉沙拉(1)
2026/01/12 17:55:17,150,0,信用卡,XK36104221,,墨西哥辣牛堡6吋(1)|蛋沙拉1球(1)
2026/01/12 17:59:54,0,620,,00000000,2101130002員工餐0元,厚切嫩牛堡6吋(1)|嫩煎蛋一片(1)|厚切嫩牛沙拉(1)|義大利經典堡6吋(1)|百味俱樂部雙份肉料(1)|嫩煎蛋一片(1)|切絲巧達起司一份(1)
2026/01/12 18:05:19,259,0,現金,XK36104224,,嫩雞沙拉捲餅(2)|C套餐(1)
2026/01/12 18:03:42,149,0,現金,XK36104222,,厚切嫩牛堡6吋(1)
2026/01/12 18:04:44,149,0,信用卡,XK36104223,,厚切嫩牛堡6吋(1)
2026/01/12 18:06:22,264,0,Line Pay,XK36104225,,辣牛沙拉捲餅(1)|嫩雞沙拉捲餅(1)|餅乾3片(1)
2026/01/12 18:07:51,110,0,信用卡,XK36104226,,嫩切雞肉堡6吋(1)
2026/01/12 18:08:22,128,0,現金,XK36104227,,照燒雞肉堡6吋(1)
2026/01/12 18:09:28,238,0,信用卡,XK36104228,,雙重起司厚牛6吋(1)|蛋沙拉1球(1)|A套餐(1)
2026/01/12 18:10:49,321,0,現金,XK36104229,,照燒雞肉堡6吋(1)|嫩切雞肉堡6吋(1)|切絲巧達起司一份(1)|奶油餅乾(2)
2026/01/12 18:13:14,270,0,現金,XK36104230,,雙重起司厚牛6吋(1)|C套餐(1)|餅乾3片(1)
2026/01/12 18:23:03,125,0,現金,XK36104231,,香烤雞肉堡6吋(1)
2026/01/12 18:32:32,288,0,現金,XK36104232,,鮮嫩雞柳堡6吋(1)|鮪魚沙拉(1)
2026/01/12 18:56:41,230,0,現金,XK36104236,,照燒雞肉堡12吋(1)
2026/01/12 18:39:52,216,0,Line Pay,XK36104233,,照燒雞肉堡6吋(1)|培根1條(1)|A套餐(1)
2026/01/12 18:43:55,198,0,Line Pay,XK36104234,,嫩切雞肉堡12吋(1)
2026/01/12 18:46:20,-149,0,現金,XK36104222,,厚切嫩牛堡6吋(-1)
2026/01/12 18:53:55,260,0,信用卡,XK36104235,,火腿堡6吋(1)|雙重起司厚牛6吋(1)
2026/01/12 18:58:33,139,0,信用卡,XK36104237,,燒烤牛肉堡6吋(1)
2026/01/12 19:05:55,75,0,現金,XK36104238,,餅乾1片(1)|拿鐵冰(1)
2026/01/12 19:09:40,197,0,Line Pay,XK36104239,,厚切嫩牛堡6吋(1)|A套餐(1)
2026/01/12 19:16:34,315,0,Line Pay,XK36104240,,鷹嘴豆泥餅12吋(1)|酪梨泥一球(2)
2026/01/12 19:17:36,-315,0,Line Pay,XK36104240,,鷹嘴豆泥餅12吋(-1)|酪梨泥一球(-2)
2026/01/12 19:17:55,254,0,Line Pay,XK36104241,,素食蔬菜堡12吋(1)|酪梨泥一球(2)
2026/01/12 19:18:57,366,0,信用卡,XK36104242,,鮪魚堡12吋(1)|香烤雞肉雙份肉料(1)|B套餐(1)|無糖紅茶熱(1)
2026/01/12 19:24:35,160,0,信用卡,XK36104243,,鮪魚堡6吋(1)|蛋沙拉1球(1)
2026/01/12 19:28:05,60,0,信用卡,XK36104244,,奶油餅乾(2)
2026/01/12 19:31:10,163,0,現金,XK36104245,,照燒雞肉堡6吋(1)|蛋沙拉1球(1)
2026/01/12 19:34:15,476,0,UberEats,XK36104246,,酪梨蔬菜沙拉 Vegetable Salad with Avocado(1)|6吋照燒雞肉潛艇堡 6-Inch Chicken Teriyaki Sub(1)
2026/01/12 19:38:26,209,0,UberEats,XK36104247,,6吋百味俱樂部潛艇堡 6-Inch Subway ClubTM Sub(1)
2026/01/12 19:42:43,120,0,現金,XK36104248,,餅乾3片(1)|餅乾3片(1)
2026/01/12 19:50:17,194,0,現金,XK36104249,,燒烤牛肉堡6吋(1)|C套餐(1)
2026/01/12 19:55:48,390,0,信用卡,XK36104251,,火腿堡6吋(1)|哈燒起司總匯堡12吋(1)|餅乾3片(1)
2026/01/12 19:55:38,433,0,UberEats,XK36104250,,6吋嫩切雞肉潛艇堡 6-Inch Sliced Chicken Sub(1)|6吋照燒雞肉潛艇堡 6-Inch Chicken Teriyaki Sub(1)
2026/01/12 20:00:05,204,0,Line Pay,XK36104252,,厚切嫩牛堡6吋(1)|嫩切雞肉雙份肉料(1)
2026/01/12 20:05:01,160,0,信用卡,XK36104253,,鮮嫩雞柳堡6吋(1)|蛋沙拉1球(1)
2026/01/12 20:17:45,194,0,現金,XK36104255,,燒烤牛肉堡6吋(1)|墨西哥辣牛雙份肉料(1)
2026/01/12 20:16:14,139,0,信用卡,XK36104254,,燒烤牛肉堡6吋(1)
2026/01/12 20:24:02,198,0,現金,XK36104256,,嫩切雞肉堡12吋(1)
2026/01/12 20:29:16,327,0,現金,XK36104257,,雙重起司厚牛12吋(1)|A套餐(1)
2026/01/12 20:32:43,125,0,Line Pay,XK36104258,,嫩雞沙拉捲餅(1)|培根1條(1)
2026/01/12 20:38:42,110,0,信用卡,XK36104259,,嫩切雞肉堡6吋(1)
2026/01/12 21:04:57,236,0,UberEats,XK36104260,,6吋香烤雞肉潛艇堡 6-Inch Roasted Chicken Breast Sub(1)
2026/01/12 21:05:56,558,0,信用卡,XK36104261,,厚切嫩牛堡12吋(1)|嫩煎蛋一片(3)|哈燒起司總匯堡6吋(1)|餅乾3片(1)
2026/01/12 21:21:02,321,0,FoodPanda,XK36104262,,蛋沙拉百味(1)|蛋沙拉1球(1)
2026/01/12 21:38:34,687,0,UberEats,XK36104263,,6吋墨西哥辣牛潛艇堡 6-Inch Taco Beef Sub(3)
2026/01/12 22:00:23,0,351,,00000000,2101130002員工餐0元,辣牛沙拉捲餅(1)|火腿雙份肉料(1)|燒烤牛肉堡6吋(1)|燒烤牛肉雙份肉料(1)
