時間,交易金額,折扣金額,種類,發票編號,客戶編號,品項
2026/02/06 08:01:40,142,0,現金,XK36107240,,餅乾3片(1)|厚切牛起司蛋堡(1)
2026/02/06 08:11:20,82,0,現金,XK36107241,,厚切牛起司蛋堡(1)
2026/02/06 08:17:02,52,0,現金,XK36107242,,起司蛋堡(1)
2026/02/06 08:26:28,243,0,UberEats,XK36107243,,辣豆瓣嫩牛潛艇堡套餐 6-Inch Mala Beef Sub(1)
2026/02/06 08:30:20,163,0,現金,XK36107244,,照燒雞肉堡6吋(1)|蛋沙拉1球(1)
2026/02/06 08:30:54,139,0,Line Pay,XK36107245,,燒烤牛肉堡6吋(1)
2026/02/06 08:49:34,283,0,現金,XK36107246,,香烤雞肉堡6吋(1)|嫩煎蛋一片(1)|酪梨泥一球(1)|D套餐(1)
2026/02/06 08:54:33,163,0,Line Pay,XK36107247,,照燒雞肉堡6吋(1)|嫩煎蛋一片(1)
2026/02/06 09:02:29,181,0,現金,XK36107248,,百味俱樂部堡6吋(1)|A套餐(1)
2026/02/06 09:03:35,236,0,UberEats,XK36107249,,6吋鮮嫩雞柳潛艇堡 6-Inch Chicken Strips Sub(1)
2026/02/06 09:25:25,82,0,信用卡,XK36107250,,厚切牛起司蛋堡(1)
2026/02/06 09:27:48,-82,0,信用卡,XK36107250,,厚切牛起司蛋堡(-1)
2026/02/06 09:28:46,290,0,信用卡,XK36107251,,香烤雞肉堡6吋(1)|蛋沙拉1球(1)|酪梨泥一球(1)|F套餐(1)
2026/02/06 10:10:56,381,0,Line Pay,XK36107252,,義大利經典堡12吋(1)|蘑菇濃湯(1)|蘑菇濃湯(1)
2026/02/06 10:15:12,614,0,現金,XK36107253,,燒烤牛肉堡12吋(1)|燒烤牛肉雙份肉料(2)|素食蔬菜堡12吋(1)|酪梨泥一球(2)
2026/02/06 10:21:16,78,0,Line Pay,XK36107254,,套餐起司蛋(1)
2026/02/06 10:21:55,393,0,UberEats,XK36107255,,6吋火腿潛艇堡 6-Inch Ham Sub(1)|6吋照燒雞肉潛艇堡 6-Inch Chicken Teriyaki Sub(1)
2026/02/06 10:22:36,363,0,信用卡,XK36107256,,墨西哥辣牛沙拉(1)|墨西哥辣牛堡6吋(1)|墨西哥辣牛雙份肉料(1)|嫩煎蛋一片(1)
2026/02/06 10:44:51,520,0,現金,XK36107257,,橙皮可可餅乾(1)|奶油餅乾(1)|燒烤牛肉堡6吋(1)|鮪魚堡12吋(1)|A套餐(1)|A套餐(1)
2026/02/06 10:50:07,207,0,Line Pay,XK36107258,,墨西哥辣牛堡12吋(1)
2026/02/06 10:57:34,230,0,信用卡,XK36107259,,照燒雞肉堡12吋(1)
2026/02/06 11:00:53,386,0,UberEats,XK36107260,,6吋嫩切雞肉潛艇堡 6-Inch Sliced Chicken Sub(2)
2026/02/06 11:05:47,354,0,現金,XK36107261,,素食蔬菜堡6吋(1)|香烤雞肉堡6吋(1)|F套餐(1)|C套餐(1)
2026/02/06 11:11:44,110,0,現金,XK36107262,,嫩切雞肉堡6吋(1)
2026/02/06 11:15:45,110,0,Line Pay,XK36107263,,嫩切雞肉堡6吋(1)
2026/02/06 11:52:55,135,0,現金,XK36107272,,義大利經典堡6吋(1)
2026/02/06 11:25:50,521,0,現金,XK36107264,,蛋沙拉1球(2)|嫩煎蛋一片(2)|香烤雞肉堡12吋(1)|D套餐(2)
2026/02/06 11:33:56,348,0,Line Pay,XK36107266,,墨西哥辣牛堡6吋(1)|酪梨泥一球(1)|百味俱樂部堡6吋(1)|餅乾3片(1)
2026/02/06 11:32:40,251,0,FoodPanda,XK36107265,,酪梨香烤雞(1)
2026/02/06 11:35:37,269,0,FoodPanda,XK36107267,,墨西哥辣椒起司厚牛(1)
2026/02/06 11:37:29,481,0,現金,XK36107268,,嫩切雞肉堡6吋(1)|百味俱樂部堡6吋(1)|義大利經典堡12吋(1)
2026/02/06 11:42:08,354,0,Line Pay,XK36107269,,香烤雞肉堡6吋(1)|蛋沙拉1球(1)|燒烤牛肉堡6吋(1)|燒烤牛肉雙份肉料(1)
2026/02/06 11:43:49,160,0,Line Pay,XK36107270,,香烤雞肉堡6吋(1)|嫩煎蛋一片(1)
2026/02/06 11:51:27,248,0,信用卡,XK36107271,,百味俱樂部堡6吋(1)|蛋沙拉堡6吋(1)
2026/02/06 11:53:58,180,0,信用卡,XK36107273,,鮪魚堡6吋(1)|A套餐(1)
2026/02/06 11:56:17,125,0,Line Pay,XK36107274,,香烤雞肉堡6吋(1)
2026/02/06 11:59:07,125,0,現金,XK36107275,,鮮嫩雞柳堡6吋(1)
2026/02/06 12:00:39,497,0,現金,XK36107276,,嫩切雞肉堡12吋(1)|厚切嫩牛堡6吋(1)|鷹嘴豆泥餅堡6吋(1)|餅乾1片(1)
2026/02/06 12:04:47,110,0,現金,XK36107277,,嫩切雞肉堡6吋(1)
2026/02/06 12:14:38,285,0,現金,XK36107278,,哈燒起司總匯堡12吋(1)|餅乾3片(1)
2026/02/06 12:18:09,155,0,Line Pay,XK36107279,,雙重起司厚牛6吋(1)
2026/02/06 12:18:42,178,0,信用卡,XK36107280,,鮪魚堡6吋(1)|A套餐(1)
