時間,交易金額,折扣金額,種類,發票編號,客戶編號,品項
2025/12/17 08:03:02,62,0,信用卡,VM14256322,,火腿起司蛋堡(1)
2025/12/17 08:03:44,52,0,現金,VM14256323,,起司蛋堡(1)
2025/12/17 08:14:23,82,0,Line Pay,VM14256324,,厚切牛起司蛋堡(1)
2025/12/17 08:19:09,242,0,信用卡,VM14256325,,鮮嫩雞柳堡6吋(1)|厚切牛起司蛋堡(1)|蛋沙拉1球(1)
2025/12/17 08:31:00,535,0,現金,VM14256326,,厚切牛起司蛋堡(1)|厚切牛起司蛋堡(1)|火腿起司蛋堡(1)|起司蛋堡(1)|培根起司蛋堡(1)|鷹嘴豆泥餅堡6吋(1)|餅乾3片(1)
2025/12/17 08:39:54,180,0,現金,VM14256327,,香烤雞肉堡6吋(1)|鮪魚雙份肉料(1)
2025/12/17 08:40:30,225,0,信用卡,VM14256328,,香烤雞肉堡12吋(1)
2025/12/17 09:33:24,125,0,Line Pay,VM14256329,,鮪魚堡6吋(1)
2025/12/17 09:53:47,125,0,Line Pay,VM14256330,,哈燒起司總匯堡6吋(1)
2025/12/17 09:54:29,62,0,Line Pay,VM14256331,,火腿起司蛋堡(1)
2025/12/17 09:56:28,242,0,Line Pay,VM14256332,,厚切嫩牛堡6吋(1)|厚切嫩牛雙份肉料(1)|無糖紅茶冰(1)
2025/12/17 10:10:19,225,0,現金,VM14256333,,套餐起司蛋(1)|套餐起司蛋(1)|蘑菇濃湯(1)
2025/12/17 10:11:39,480,0,UberEats,VM14256334,,6吋墨西哥辣牛潛艇堡 6-Inch Taco Beef Sub(1)|6吋墨西哥辣牛潛艇堡 6-Inch Taco Beef Sub(1)
2025/12/17 10:16:51,125,0,現金,VM14256335,,鮮嫩雞柳堡6吋(1)
2025/12/17 10:18:09,163,0,信用卡,VM14256336,,鮪魚沙拉(1)
2025/12/17 10:21:44,85,0,信用卡,VM14256337,,杯裝飲料(16oz)(1)|起司蛋堡(1)
2025/12/17 10:23:11,82,0,現金,VM14256338,,厚切牛起司蛋堡(1)
2025/12/17 10:25:29,186,0,信用卡,VM14256339,,火腿起司蛋堡(1)|起司蛋堡(1)|培根起司蛋堡(1)
2025/12/17 10:50:35,341,0,現金,VM14256340,,香烤雞肉堡12吋(1)|D套餐(1)|杯裝飲料(22oz)(1)
2025/12/17 10:56:39,259,0,UberEats,VM14256341,,6吋雙重起司厚切嫩牛潛艇堡 6-Inch Diced Beef with Double Cheese Sub(1)
2025/12/17 10:59:57,400,0,UberEats,VM14256342,,6吋百味俱樂部潛艇堡 6-Inch Subway ClubTM Sub(1)|6吋嫩切雞肉潛艇堡 6-Inch Sliced Chicken Sub(1)
2025/12/17 11:09:01,125,0,信用卡,VM14256343,,香烤雞肉堡6吋(1)
2025/12/17 11:13:41,304,0,信用卡,VM14256344,,奶油餅乾6片組(1)|加購餅乾包購物袋(1)|石榴莓汁飲料(1)
2025/12/17 11:25:14,416,0,UberEats,VM14256345,,6吋嫩切雞肉潛艇堡 6-Inch Sliced Chicken Sub(2)|單點現烤餅乾一片 Cookie1 pc(1)
2025/12/17 11:26:41,134,0,信用卡,VM14256346,,素食蔬菜沙拉(1)
2025/12/17 11:30:09,173,0,現金,VM14256347,,香烤雞肉堡6吋(1)|A套餐(1)
2025/12/17 11:32:08,236,0,現金,VM14256348,,素食蔬菜沙拉(1)|嫩雞沙拉捲餅(1)
2025/12/17 11:36:32,337,0,現金,VM14256349,,燒烤牛肉堡6吋(1)|照燒雞肉堡6吋(1)|蛋沙拉1球(1)|蛋沙拉1球(1)
2025/12/17 11:39:52,158,0,現金,VM14256350,,火腿堡6吋(1)|A套餐(1)
2025/12/17 11:59:33,125,0,現金,VM14256351,,鮮嫩雞柳堡6吋(1)
2025/12/17 12:00:11,382,0,Line Pay,VM14256352,,厚切嫩牛堡6吋(1)|墨西哥辣牛堡6吋(1)|嫩煎蛋一片(1)|嫩煎蛋一片(1)|A套餐(1)
2025/12/17 12:04:21,55,0,現金,VM14256353,,C套餐(1)
2025/12/17 12:05:11,160,0,現金,VM14256354,,香烤雞肉堡6吋(1)|蛋沙拉1球(1)
2025/12/17 12:05:46,163,0,現金,VM14256355,,鮪魚沙拉(1)
2025/12/17 12:06:42,337,0,現金,VM14256356,,嫩切雞肉堡12吋(1)|蛋沙拉1球(2)|蘑菇濃湯(1)
2025/12/17 12:09:35,125,0,現金,VM14256357,,鮮嫩雞柳堡6吋(1)
2025/12/17 12:11:08,219,0,信用卡,VM14256358,,鮪魚堡6吋(1)|BLT捲餅(1)
2025/12/17 12:12:39,110,0,Line Pay,VM14256359,,嫩切雞肉堡6吋(1)
2025/12/17 12:21:47,232,0,現金,VM14256362,,義大利牛肉丸堡12吋(1)
2025/12/17 12:18:51,195,0,Line Pay,VM14256360,,鮮嫩雞柳堡6吋(1)|G套餐(1)
2025/12/17 12:20:44,219,0,信用卡,VM14256361,,厚切嫩牛堡6吋(1)|G套餐(1)
2025/12/17 12:24:02,344,0,現金,VM14256363,,嫩切雞肉堡6吋(1)|義大利牛肉丸堡6吋(1)|C套餐(1)|金選奶茶冰(1)
2025/12/17 12:25:33,137,0,現金,VM14256364,,嫩雞沙拉捲餅(1)|嫩煎蛋一片(1)
2025/12/17 12:27:46,262,0,UberEats,VM14256365,,6吋義大利經典潛艇堡 6-Inch Italian B.M.T.TM Sub(1)
2025/12/17 12:30:45,255,0,現金,VM14256366,,鮮嫩雞柳堡12吋(1)|588ml鹼性離子水(1)
2025/12/17 12:32:07,102,0,Line Pay,VM14256367,,辣牛沙拉捲餅(1)
2025/12/17 12:34:41,195,0,Line Pay,VM14256368,,義大利經典堡6吋(1)|B套餐(1)
2025/12/17 12:35:57,160,0,信用卡,VM14256369,,鮮嫩雞柳堡6吋(1)|蛋沙拉1球(1)
2025/12/17 12:38:05,250,0,現金,VM14256370,,鮮嫩雞柳堡6吋(2)
2025/12/17 12:47:45,230,0,現金,VM14256373,,照燒雞肉堡12吋(1)
2025/12/17 12:39:57,125,0,現金,VM14256371,,鮪魚堡6吋(1)
2025/12/17 12:41:08,176,0,現金,VM14256372,,照燒雞肉堡6吋(1)|A套餐(1)
2025/12/17 12:48:28,471,0,信用卡,VM14256374,,鮪魚堡12吋(1)|鮪魚雙份肉料(1)|蛋沙拉1球(1)|D套餐(2)
2025/12/17 12:50:09,466,0,UberEats,VM14256375,,6吋義大利牛肉丸潛艇堡 6-Inch Roast Beef Sub(2)
2025/12/17 12:51:21,212,0,現金,VM14256376,,素食蔬菜堡12吋(1)|A套餐(1)
2025/12/17 12:52:50,272,0,Line Pay,VM14256377,,墨西哥辣牛堡12吋(1)|A套餐(1)
2025/12/17 12:54:51,338,0,信用卡,VM14256378,,厚切嫩牛堡12吋(1)|蛋沙拉1球(1)|蛋沙拉1球(1)
2025/12/17 12:56:26,203,0,信用卡,VM14256379,,香烤雞肉堡6吋(1)|E套餐(1)
2025/12/17 13:02:03,347,0,信用卡,VM14256380,,照燒雞肉堡12吋(1)|蘑菇濃湯(1)|A套餐(1)
2025/12/17 13:27:19,173,0,現金,VM14256381,,照燒雞肉堡6吋(1)|酪梨泥一球(1)
2025/12/17 13:28:17,250,0,信用卡,VM14256382,,鮪魚堡6吋(1)|鮮嫩雞柳堡6吋(1)
2025/12/17 13:36:34,203,0,現金,VM14256383,,蛋沙拉堡6吋(1)|三角切片起司一份(1)|餅乾3片(1)
2025/12/17 13:55:52,170,0,現金,VM14256384,,照燒雞肉沙拉(1)
2025/12/17 14:21:45,102,0,Line Pay,VM14256385,,嫩雞沙拉捲餅(1)
2025/12/17 14:25:13,209,0,Line Pay,VM14256386,,厚切嫩牛堡6吋(1)|A套餐(1)
2025/12/17 14:27:38,225,0,Line Pay,VM14256387,,香烤雞肉堡12吋(1)
2025/12/17 14:58:41,237,0,Line Pay,VM14256388,,墨西哥辣牛堡12吋(1)|奶油餅乾(1)
2025/12/17 15:04:57,262,0,現金,VM14256389,,厚切嫩牛堡6吋(1)|嫩煎蛋一片(1)|D套餐(1)
2025/12/17 15:06:58,0,246,,00000000,2101130002員工餐0元,嫩雞沙拉捲餅(1)|墨西哥辣牛雙份肉料(1)|素食蔬菜堡6吋(1)
2025/12/17 15:16:44,153,0,信用卡,VM14256390,,照燒雞肉堡6吋(1)|餅乾1片(1)
2025/12/17 15:47:03,165,0,現金,VM14256391,,嫩切雞肉堡6吋(1)|嫩切雞肉雙份肉料(1)
2025/12/17 15:52:06,153,0,信用卡,VM14256392,,照燒雞肉堡6吋(1)|餅乾1片(1)
2025/12/17 15:58:08,128,0,Line Pay,VM14256393,,百味俱樂部堡6吋(1)
2025/12/17 16:02:15,160,0,現金,VM14256394,,香烤雞肉堡6吋(1)|嫩煎蛋一片(1)
2025/12/17 16:05:48,409,0,Line Pay,VM14256395,,厚切嫩牛堡6吋(1)|辣豆瓣嫩牛6吋(1)|A套餐(1)|A套餐(1)
2025/12/17 16:21:15,346,0,Line Pay,VM14256396,,厚切嫩牛堡12吋(1)|D套餐(1)
2025/12/17 16:24:33,175,0,Line Pay,VM14256397,,嫩切雞肉堡6吋(1)|A套餐(1)
2025/12/17 16:41:42,128,0,Line Pay,VM14256398,,照燒雞肉堡6吋(1)
2025/12/17 16:54:41,249,0,Line Pay,VM14256399,,厚切嫩牛堡6吋(1)|酪梨泥一球(1)|鮮嫩雞柳雙份肉料(1)
2025/12/17 17:09:06,394,0,Line Pay,VM14256400,,照燒雞肉堡6吋(1)|嫩切雞肉堡6吋(1)|D套餐(1)|D套餐(1)
2025/12/17 17:17:34,205,0,Line Pay,VM14256401,,嫩切雞肉堡6吋(1)|嫩煎蛋一片(1)|C套餐(1)
2025/12/17 17:26:40,528,0,FoodPanda,VM14256402,,鮮嫩雞柳(1)|酪梨蔬菜沙拉(1)|加料(1)|外送單點(1)|外送單點(1)
2025/12/17 17:29:36,184,0,Line Pay,VM14256403,,厚切嫩牛堡6吋(1)|嫩煎蛋一片(1)
2025/12/17 17:38:47,-394,0,Line Pay,VM14256400,,照燒雞肉堡6吋(-1)|嫩切雞肉堡6吋(-1)|D套餐(-1)|D套餐(-1)
2025/12/17 17:38:57,316,0,Line Pay,VM14256404,,照燒雞肉堡6吋(1)|嫩切雞肉堡6吋(1)|D套餐(1)
2025/12/17 17:41:18,428,0,Line Pay,VM14256405,,哈燒起司總匯堡12吋(1)|香烤雞肉堡6吋(1)|A套餐(1)|餅乾1片(1)
2025/12/17 17:47:22,213,0,現金,VM14256406,,照燒雞肉堡6吋(1)|F套餐(1)
2025/12/17 17:51:52,350,0,現金,VM14256407,,鮮嫩雞柳堡6吋(1)|哈燒起司總匯堡12吋(1)
2025/12/17 17:53:23,162,0,信用卡,VM14256408,,燒烤牛肉堡6吋(1)|培根1條(1)
2025/12/17 17:55:55,60,0,信用卡,VM14256409,,餅乾3片(1)
2025/12/17 17:56:44,229,0,UberEats,VM14256410,,辣豆瓣嫩牛可樂優惠套餐 6-Inch Mala Beef Sub with Coke Zero Meal Set(1)|單點現烤餅乾一片 Cookie1 pc(1)|活動折扣(Uber eats)(1)
2025/12/17 18:02:55,469,0,現金,VM14256411,,義大利牛肉丸堡6吋(1)|義大利牛肉丸堡12吋(1)|C套餐(1)|A套餐(1)
2025/12/17 18:06:34,300,0,UberEats,VM14256412,,鮪魚蛋沙拉 Tuna and Egg Salad(1)
2025/12/17 18:09:28,163,0,現金,VM14256413,,鮪魚沙拉(1)
2025/12/17 18:15:28,191,0,FoodPanda,VM14256414,,素食蔬菜(1)|外送單點(1)
2025/12/17 18:18:11,201,0,現金,VM14256415,,素食蔬菜(1)|加料(1)
2025/12/17 18:21:35,336,0,Line Pay,VM14256416,,百味俱樂部堡12吋(1)|三角切片起司一份(1)|切絲巧達起司一份(1)|A套餐(1)
2025/12/17 18:24:46,128,0,現金,VM14256417,,照燒雞肉堡6吋(1)
2025/12/17 18:25:08,148,0,現金,VM14256418,,香烤雞肉堡6吋(1)|三角切片起司一份(1)
2025/12/17 18:25:53,257,0,信用卡,VM14256419,,厚切嫩牛堡6吋(1)|厚切嫩牛雙份肉料(1)|B套餐(1)
2025/12/17 18:27:14,361,0,現金,VM14256420,,蛋沙拉沙拉(1)|鷹嘴豆泥捲餅(1)|嫩雞沙拉捲餅(1)
2025/12/17 18:28:47,268,0,信用卡,VM14256421,,厚切嫩牛堡12吋(1)
2025/12/17 18:30:31,225,0,現金,VM14256422,,鮮嫩雞柳堡12吋(1)
2025/12/17 18:36:20,105,0,信用卡,VM14256423,,火腿堡6吋(1)
2025/12/17 18:39:02,85,0,現金,VM14256424,,餅乾3片(1)|餅乾1片(1)
2025/12/17 18:41:06,110,0,Line Pay,VM14256425,,嫩切雞肉堡6吋(1)
2025/12/17 18:48:20,159,0,現金,VM14256426,,辣豆瓣嫩牛6吋(1)
2025/12/17 18:49:35,250,0,信用卡,VM14256427,,燒烤牛肉堡12吋(1)
2025/12/17 18:50:52,264,0,現金,VM14256428,,義大利牛肉丸堡6吋(1)|義大利經典堡6吋(1)
2025/12/17 18:53:51,139,0,Line Pay,VM14256429,,燒烤牛肉堡6吋(1)
2025/12/17 18:54:50,139,0,信用卡,VM14256430,,燒烤牛肉堡6吋(1)
2025/12/17 18:56:20,203,0,現金,VM14256431,,哈燒起司總匯堡6吋(1)|D套餐(1)
2025/12/17 18:59:45,246,0,信用卡,VM14256432,,嫩切雞肉堡12吋(1)|A套餐(1)
2025/12/17 19:01:27,278,0,Line Pay,VM14256433,,照燒雞肉堡12吋(1)|A套餐(1)
2025/12/17 19:02:13,338,0,信用卡,VM14256434,,厚切嫩牛堡12吋(1)|嫩煎蛋一片(1)|蛋沙拉1球(1)
2025/12/17 19:05:35,230,0,現金,VM14256435,,照燒雞肉堡12吋(1)
2025/12/17 19:11:34,125,0,Line Pay,VM14256436,,鮮嫩雞柳堡6吋(1)
2025/12/17 19:13:32,216,0,Line Pay,VM14256437,,蛋沙拉堡12吋(1)
2025/12/17 19:16:37,285,0,現金,VM14256438,,鮪魚堡12吋(1)|餅乾3片(1)
2025/12/17 19:20:17,149,0,現金,VM14256439,,厚切嫩牛堡6吋(1)
2025/12/17 19:30:12,120,0,Line Pay,VM14256440,,蛋沙拉堡6吋(1)
2025/12/17 19:31:46,506,0,現金,VM14256441,,照燒雞肉堡12吋(1)|蛋沙拉1球(1)|鮮嫩雞柳沙拉(1)|D套餐(1)
2025/12/17 19:39:09,185,0,Line Pay,VM14256442,,鮪魚堡6吋(1)|A套餐(1)
2025/12/17 19:40:32,235,0,現金,VM14256443,,香烤雞肉堡6吋(1)|嫩切雞肉堡6吋(1)
2025/12/17 19:44:23,225,0,Line Pay,VM14256444,,香烤雞肉堡12吋(1)
2025/12/17 19:52:54,124,0,現金,VM14256445,,素食蔬菜堡6吋(1)|蛋沙拉1球(1)
2025/12/17 20:03:27,472,0,信用卡,VM14256446,,照燒雞肉堡6吋(1)|燒烤牛肉烤餅6吋(1)|墨西哥辣牛堡6吋(1)|嫩煎蛋一片(1)|酪梨泥一球(1)
2025/12/17 20:04:06,125,0,Line Pay,VM14256447,,鮮嫩雞柳堡6吋(1)
2025/12/17 20:05:38,339,0,信用卡,VM14256448,,墨西哥辣牛堡6吋(1)|燒烤牛肉堡6吋(1)|F套餐(1)
2025/12/17 20:12:44,493,0,現金,VM14256449,,厚切嫩牛堡6吋(1)|香烤雞肉堡6吋(1)|厚切嫩牛烤餅6吋(1)|餅乾3片(1)
2025/12/17 20:19:50,250,0,Line Pay,VM14256450,,香烤雞肉堡6吋(1)|鮪魚堡6吋(1)
2025/12/17 20:21:53,236,0,UberEats,VM14256451,,6吋鮪魚潛艇堡 6-Inch Tuna Sub(1)|單點現烤餅乾一片 Cookie1 pc(1)
2025/12/17 20:27:49,158,0,現金,VM14256452,,嫩切雞肉堡6吋(1)|A套餐(1)
2025/12/17 20:29:36,336,0,Line Pay,VM14256453,,嫩切雞肉堡12吋(1)|酪梨泥一球(1)|酪梨泥一球(1)|A套餐(1)
2025/12/17 20:37:59,301,0,FoodPanda,VM14256454,,嫩雞雙饗(1)|加料(1)
2025/12/17 20:39:42,209,0,FoodPanda,VM14256455,,照燒雞肉(1)
2025/12/17 20:46:01,173,0,信用卡,VM14256456,,香烤雞肉堡6吋(1)|A套餐(1)
2025/12/17 20:47:45,102,0,Line Pay,VM14256457,,嫩雞沙拉捲餅(1)
2025/12/17 20:51:48,160,0,信用卡,VM14256458,,鮮嫩雞柳堡6吋(1)|嫩煎蛋一片(1)
